Role,Model,MO Class Name,Access Rule
SystemAdministrator,ManagedElement,ManagedElement,RWX
SystemAdministrator,SystemFunctions,SystemFunctions,RWX
SystemAdministrator,Transport,Transport,RWX
SystemAdministrator,SystemFunctions,Fm and subtree,RWX
SystemAdministrator,SystemFunctions,Lm and subtree,RWX
SystemAdministrator,SystemFunctions,LogM and subtree,RWX
SystemAdministrator,SystemFunctions,Pm and subtree,RWX
SystemAdministrator,SystemFunctions,BrM and subtree,RWX
SystemAdministrator,SystemFunctions,HwInventory and subtree,RW
SystemAdministrator,SystemFunctions,SysM and subtree,RWX
SystemAdministrator,SystemFunctions,SecM,R
SystemAdministrator,SystemFunctions,CertM and subtree,R
SystemAdministrator,SystemFunctions,SwInventory and subtree,RW
SystemAdministrator,SystemFunctions,SwM and subtree,RWX
SystemAdministrator,SystemFunctions,HealthCheckM and subtree,RWX
SystemAdministrator,Equipment,Equipment and subtree,R
SystemAdministrator,Equipment,AntennaUnitGroup and subtree,RWX
SystemAdministrator,Equipment,BatteryUnit and subtree,RWX
SystemAdministrator,Equipment,Cabinet and subtree,RWX
SystemAdministrator,Equipment,CcLink and subtree,RWX
SystemAdministrator,Equipment,DiLink and subtree,RWX
SystemAdministrator,Equipment,EcBus and subtree,RWX
SystemAdministrator,Equipment,Enclosure and subtree,RWX
SystemAdministrator,Equipment,ExternalNode and subtree,RWX
SystemAdministrator,Equipment,FieldReplaceableUnit,RWX
SystemAdministrator,Equipment,AlarmPort and subtree,RWX
SystemAdministrator,Equipment,AntennaNearUnit and subtree,RWX
SystemAdministrator,Equipment,BbProcessingResource and subtree,RWX
SystemAdministrator,Equipment,BootSwUpgrade and subtree,RWX
SystemAdministrator,Equipment,DiPort and subtree,RWX
SystemAdministrator,Equipment,DotGroupConfig and subtree,RWX
SystemAdministrator,Equipment,EcPort and subtree,RWX
SystemAdministrator,Equipment,EFuse and subtree,RWX
SystemAdministrator,Equipment,EnergyMeter and subtree,RWX
SystemAdministrator,Equipment,ExtOamAgent and subtree,RWX
SystemAdministrator,Equipment,HereIAmIndication and subtree,RWX
SystemAdministrator,Equipment,IntegrityProtection and subtree,RWX
SystemAdministrator,Equipment,IplPort and subtree,RWX
SystemAdministrator,Equipment,MpProcessingResource and subtree,RWX
SystemAdministrator,Equipment,NetworkIdentity and subtree,RWX
SystemAdministrator,Equipment,ORadio and subtree,RWX
SystemAdministrator,Equipment,ORiPort and subtree,RWX
SystemAdministrator,Equipment,PimcHwacControl and subtree,RWX
SystemAdministrator,Equipment,PlugInModule and subtree,RWX
SystemAdministrator,Equipment,RadioProcessing and subtree,RWX
SystemAdministrator,Equipment,RcvdPowerScanner and subtree,RWX
SystemAdministrator,Equipment,RdiPort and subtree,RWX
SystemAdministrator,Equipment,RfPort and subtree,RWX
SystemAdministrator,Equipment,RiPort and subtree,RWX
SystemAdministrator,Equipment,SfpModule and subtree,RWX
SystemAdministrator,Equipment,SyncPort and subtree,RWX
SystemAdministrator,Equipment,SyncTestInterface and subtree,RWX
SystemAdministrator,Equipment,ThirdPartyRiPort and subtree,RWX
SystemAdministrator,Equipment,TnPort and subtree,RWX
SystemAdministrator,Equipment,Transceiver and subtree,RWX
SystemAdministrator,Equipment,HwGroup and subtree,RWX
SystemAdministrator,Equipment,OpmUnit and subtree,RWX
SystemAdministrator,Equipment,RiLink and subtree,RWX
SystemAdministrator,Equipment,RiNetwork and subtree,RWX
SystemAdministrator,Equipment,SupportUnit and subtree,RWX
SystemAdministrator,EquipmentSupportFunction,EquipmentSupportFunction and subtree,RWX
SystemAdministrator,NodeSupport,NodeSupport and subtree,RWX
SystemAdministrator,NodeSupport,OnapSupport and subtree,RWX
SystemAdministrator,NodeSupport,LicenseSupport and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,LogM and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,SwInventory and subtree,R
SystemSecurityAdministrator,Equipment,Equipment and subtree,R
SystemSecurityAdministrator,SystemFunctions,TheftDeterrence and subtree,RWX
SystemSecurityAdministrator,Equipment,SwImage and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,Fm and subtree,R
SystemSecurityAdministrator,SystemFunctions,Lm and subtree,R
SystemSecurityAdministrator,SystemFunctions,HealthCheckM and subtree,R
SystemSecurityAdministrator,ManagedElement,ManagedElement,R
SystemSecurityAdministrator,SystemFunctions,SystemFunctions,R
SystemSecurityAdministrator,SystemFunctions,SecM,RWX
SystemSecurityAdministrator,SystemFunctions,AutomaticFailsafe and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,CertM and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,Dtls and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,LocalAccessM and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,Ssh and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,Tls and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,UserManagement,RWX
SystemSecurityAdministrator,SystemFunctions,AuthenticationOrder and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,AuthorizationOrder and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,LdapAuthenticationMethod and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,LocalAuthorizationMethod and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,UserIdentity,RWX
SystemSecurityAdministrator,SystemFunctions,MaintenanceUser and subtree,R
SystemSecurityAdministrator,SystemFunctions,MaintenanceUserSecurity and subtree,R
SystemSecurityAdministrator,SystemFunctions,TheftDeterrence and subtree,RWX
SystemReadOnly,ManagedElement,ManagedElement,R
SystemReadOnly,ManagedElement,ManagedElement,R
SystemReadOnly,SystemFunctions,SystemFunctions,R
SystemReadOnly,SystemFunctions,BrM and subtree,R
SystemReadOnly,SystemFunctions,Fm and subtree,R
SystemReadOnly,SystemFunctions,HwInventory and subtree,R
SystemReadOnly,SystemFunctions,Lm and subtree,R
SystemReadOnly,SystemFunctions,LogM and subtree,R
SystemReadOnly,SystemFunctions,Pm and subtree,R
SystemReadOnly,SystemFunctions,SwInventory and subtree,R
SystemReadOnly,SystemFunctions,SwM and subtree,R
SystemReadOnly,SystemFunctions,SysM and subtree,R
SystemReadOnly,SystemFunctions,HealthCheckM and subtree,R
SystemReadOnly,Transport,Transport,R
SystemReadOnly,Equipment,Equipment and subtree,R
SystemReadOnly,EquipmentSupportFunction,EquipmentSupportFunction and subtree,R
SystemReadOnly,NodeSupport,NodeSupport and subtree,R
SystemReadOnly,NodeSupport,OnapSupport and subtree,R
SystemReadOnly,NodeSupport,LicenseSupport and subtree,R
EricssonSupport,ManagedElement,ManagedElement and subtree,RWX
EricssonSupport2,ManagedElement,ManagedElement,RWX
EricssonSupport2,NodeSupport,NodeSupport and subtree,RWX
EricssonSupport2,EquipmentSupportFunction,EquipmentSupportFunction and subtree,RWX
EricssonSupport2,Equipment,Equipment and subtree,RWX
EricssonSupport2,Transport,Transport and subtree,RWX
EricssonSupport2,SystemFunctions,SystemFunctions,RWX
EricssonSupport2,SystemFunctions,BrM and subtree,RWX
EricssonSupport2,SystemFunctions,Fm and subtree,RWX
EricssonSupport2,SystemFunctions,HwInventory and subtree,RWX
EricssonSupport2,SystemFunctions,Lm and subtree,RWX
EricssonSupport2,SystemFunctions,LogM and subtree,RWX
EricssonSupport2,SystemFunctions,SwInventory and subtree,RWX
EricssonSupport2,SystemFunctions,SwM and subtree,RWX
EricssonSupport2,SystemFunctions,SysM and subtree,RWX
EricssonSupport2,SystemFunctions,HealthCheckM and subtree,RWX
EricssonSupport2,SystemFunctions,SecM,RWX
EricssonSupport2,SystemFunctions,CertM and subtree,RWX
EricssonSupport2,SystemFunctions,AutomaticFailsafe and subtree,RWX
EricssonSupport2,SystemFunctions,Dtls and subtree,RWX
EricssonSupport2,SystemFunctions,LocalAccessM and subtree,RWX
EricssonSupport2,SystemFunctions,Ssh and subtree,RWX
EricssonSupport2,SystemFunctions,Tls and subtree,RWX
EricssonSupport2,SystemFunctions,AutomaticFailsafe and subtree,RWX
EricssonSupport2,SystemFunctions,TheftDeterrence and subtree,RWX
EricssonSupport2,SystemFunctions,UserManagement,RWX
EricssonSupport2,SystemFunctions,AuthenticationOrder and subtree,RWX
EricssonSupport2,SystemFunctions,AuthorizationOrder and subtree,RWX
EricssonSupport2,SystemFunctions,LdapAuthenticationMethod and subtree,RWX
EricssonSupport2,SystemFunctions,LocalAuthorizationMethod and subtree,RWX
EricssonSupport2,SystemFunctions,UserIdentity,RWX
EricssonSupport2,SystemFunctions,MaintenanceUserSecurity and subtree,RWX
EricssonSupport2,SystemFunctions,MaintenanceUser and subtree,R
EricssonSupport2,BtsFunction,BtsFunction and subtree,RWX
EricssonSupport2,ENodeBFunction,ENodeBFunction and subtree,RWX
EricssonSupport2,GNBCUCPFunction,GNBCUCPFunction and subtree,RWX
EricssonSupport2,GNBCUUPFunction,GNBCUUPFunction and subtree,RWX
EricssonSupport2,GNBDUFunction,GNBDUFunction and subtree,RWX
EricssonSupport2,MceFunction,MceFunction and subtree,RWX
EricssonSupport2,NodeBFunction,NodeBFunction and subtree,RWX
Users_Application_Security_Administrator,ManagedElement,ManagedElement,R
Users_Application_Security_Administrator,SystemFunctions,SystemFunctions,R
Users_Application_Security_Administrator,SystemFunctions,BrM and subtree,R
Users_Application_Security_Administrator,SystemFunctions,Fm and subtree,R
Users_Application_Security_Administrator,SystemFunctions,HwInventory and subtree,R
Users_Application_Security_Administrator,SystemFunctions,Lm and subtree,R
Users_Application_Security_Administrator,SystemFunctions,LogM and subtree,R
Users_Application_Security_Administrator,SystemFunctions,SwInventory and subtree,R
Users_Application_Security_Administrator,SystemFunctions,SwM and subtree,R
Users_Application_Security_Administrator,SystemFunctions,SysM and subtree,R
Users_Application_Security_Administrator,SystemFunctions,HealthCheckM and subtree,R
Users_Application_Security_Administrator,SystemFunctions,SecM,R
Users_Application_Security_Administrator,SystemFunctions,AutomaticFailsafe and subtree,R
Users_Application_Security_Administrator,SystemFunctions,CertM and subtree,R
Users_Application_Security_Administrator,SystemFunctions,Dtls and subtree,R
Users_Application_Security_Administrator,SystemFunctions,LocalAccessM and subtree,R
Users_Application_Security_Administrator,SystemFunctions,Ssh and subtree,R
Users_Application_Security_Administrator,SystemFunctions,Tls and subtree,R
Users_Application_Security_Administrator,SystemFunctions,AuthenticationOrder and subtree,R
Users_Application_Security_Administrator,SystemFunctions,AuthorizationOrder and subtree,R
Users_Application_Security_Administrator,SystemFunctions,LdapAuthenticationMethod and subtree,R
Users_Application_Security_Administrator,SystemFunctions,LocalAuthorizationMethod and subtree,R
Users_Application_Security_Administrator,SystemFunctions,UserIdentity and subtree,RWX
Users_Application_Security_Administrator,SystemFunctions,AutomaticFailsafe and subtree,R
Users_Application_Security_Administrator,SystemFunctions,TheftDeterrence and subtree,R
Users_Application_Security_Administrator,Transport,Transport and subtree,R
Users_Application_Security_Administrator,Equipment,Equipment and subtree,R
Users_Application_Security_Administrator,SystemFunctions,TheftDeterrence and subtree,RWX
Users_Application_Security_Administrator,Equipment,SwImage and subtree,RWX
Users_Application_Security_Administrator,EquipmentSupportFunction,EquipmentSupportFunction and subtree,R
Users_Application_Security_Administrator,NodeSupport,NodeSupport and subtree,R
Diagnostic_Application_Troubleshooter,ManagedElement,ManagedElement,R
Diagnostic_Application_Troubleshooter,Equipment,Equipment and subtree,R
Diagnostic_Application_Troubleshooter,Equipment,HereIAmIndication and subtree,RWX
Diagnostic_Application_Troubleshooter,EquipmentSupportFunction,EquipmentSupportFunction and subtree,R
Diagnostic_Application_Troubleshooter,NodeSupport,NodeSupport and subtree,R
Diagnostic_Application_Troubleshooter,SystemFunctions,SystemFunctions,R
Diagnostic_Application_Troubleshooter,SystemFunctions,BrM and subtree,R
Diagnostic_Application_Troubleshooter,SystemFunctions,Fm and subtree,R
Diagnostic_Application_Troubleshooter,SystemFunctions,HealthCheckM and subtree,RWX
Diagnostic_Application_Troubleshooter,SystemFunctions,HwInventory and subtree,R
Diagnostic_Application_Troubleshooter,SystemFunctions,Lm and subtree,R
Diagnostic_Application_Troubleshooter,SystemFunctions,LogM and subtree,R
Diagnostic_Application_Troubleshooter,SystemFunctions,SwInventory and subtree,R
Diagnostic_Application_Troubleshooter,SystemFunctions,SwM and subtree,R
Diagnostic_Application_Troubleshooter,SystemFunctions,SysM and subtree,R
Diagnostic_Application_Troubleshooter,BtsFunction,BtsFunction and subtree,R
Diagnostic_Application_Troubleshooter,ENodeBFunction,ENodeBFunction and subtree,R
Diagnostic_Application_Troubleshooter,GNBCUCPFunction,GNBCUCPFunction and subtree,R
Diagnostic_Application_Troubleshooter,GNBCUUPFunction,GNBCUUPFunction and subtree,R
Diagnostic_Application_Troubleshooter,GNBDUFunction,GNBDUFunction and subtree,R
Diagnostic_Application_Troubleshooter,NodeBFunction,NodeBFunction and subtree,R
Diagnostic_Application_Troubleshooter,Transport,Transport and subtree,R
Advanced_Application_Troubleshooter,Equipment,Equipment and subtree,R
Advanced_Application_Troubleshooter,Equipment,AntennaUnitGroup and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,BatteryUnit and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,Cabinet and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,CcLink and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,DiLink and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,EcBus and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,Enclosure and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,ExternalNode and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,FieldReplaceableUnit,RWX
Advanced_Application_Troubleshooter,Equipment,AlarmPort and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,AntennaNearUnit and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,BbProcessingResource and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,BootSwUpgrade and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,DiPort and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,DotGroupConfig and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,EcPort and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,EFuse and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,EnergyMeter and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,ExtOamAgent and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,HereIAmIndication and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,IntegrityProtection and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,IplPort and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,MpProcessingResource and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,NetworkIdentity and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,ORadio and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,ORiPort and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,PimcHwacControl and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,PlugInModule and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,RadioProcessing and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,RcvdPowerScanner and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,RdiPort and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,RfPort and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,RiPort and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,SfpModule and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,SyncPort and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,SyncTestInterface and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,ThirdPartyRiPort and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,TnPort and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,Transceiver and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,HwGroup and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,OpmUnit and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,RiLink and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,RiNetwork and subtree,RWX
Advanced_Application_Troubleshooter,Equipment,SupportUnit and subtree,RWX
Advanced_Application_Troubleshooter,EquipmentSupportFunction,EquipmentSupportFunction and subtree,RWX
Advanced_Application_Troubleshooter,BtsFunction,GsmSector and subtree,RWX
Advanced_Application_Troubleshooter,ENodeBFunction,EUtranCellFDD,RWX
Advanced_Application_Troubleshooter,ENodeBFunction,EUtranCellTDD,RWX
Advanced_Application_Troubleshooter,ENodeBFunction,NbIotCell,RWX
Advanced_Application_Troubleshooter,GNBDUFunction,NRCellDU,RWX
Advanced_Application_Troubleshooter,GNBDUFunction,NRSectorCarrier,RWX
Advanced_Application_Troubleshooter,NodeBFunction,NodeBLocalCell,RWX
Bts_Application_User,Equipment,Equipment and subtree,R
NodeB_Application_Administrator,Equipment,ORiPort and subtree,RWX
GNodeB_Application_Administrator,Equipment,SyncTestInterface and subtree,RWX
Bts_Application_Administrator,Equipment,RadioProcessing and subtree,RWX
Support_Application_Administrator,Equipment,EcBus and subtree,RWX
Support_Application_Administrator,Equipment,IplPort and subtree,RWX
GNodeB_Application_Administrator,GNBDUFunction,GNBDUFunction and subtree,R
ENodeB_Application_User,ManagedElement,ManagedElement,R
ENodeB_Application_Administrator,ENodeBFunction,UePolicyOptimization and subtree,RWX
Bts_Application_Administrator,Equipment,Equipment,RWX
NodeB_Application_Administrator,NodeSupport,NodeSupport and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,Mbms and subtree,RWX
Support_Application_Administrator,NodeSupport,NodeSupport,RWX
Bts_Application_User,SystemFunctions,Pm and subtree,R
ENodeB_Application_Administrator,Equipment,RadioProcessing and subtree,RWX
Bts_Application_Administrator,Equipment,EnergyMeter and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,EndcProfilePredefined and subtree,RWX
GNodeB_Application_Administrator,SystemFunctions,FmAlarm and subtree,RWX
ENodeB_Application_Administrator,Equipment,EcPort and subtree,RWX
NodeB_Application_Administrator,NodeBFunction,NodeBFunction and subtree,RWX
Transport_Application_Administrator,Transport,Dot1xSupplicant and subtree,RWX
GNodeB_Application_Administrator,Equipment,ExtOamAgent and subtree,RWX
Support_Application_User,SystemFunctions,Schema,RX
Support_Application_Administrator,Equipment,SupportUnit and subtree,RWX
Transport_Application_Administrator,Transport,SctpProfile and subtree,RWX
GNodeB_Application_Administrator,Equipment,RdiPort and subtree,RWX
NodeB_Application_Administrator,Equipment,RiLink and subtree,RWX
ENodeB_Application_Administrator,SystemFunctions,PmEventM and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,PreschedProfile and subtree,RWX
Support_Application_Administrator,Equipment,BbProcessingResource and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,NRNetwork and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,PlmnInfo and subtree,RWX
Bts_Application_Administrator,SystemFunctions,Schema,RX
NodeB_Application_User,NodeSupport,NodeSupport and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,AnrPciConflictDrxProfile and subtree,RWX
Bts_Application_Administrator,Equipment,ExtOamAgent and subtree,RWX
GNodeB_Application_Administrator,GNBDUFunction,GNBDUFunction and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,EsiSelectiveUeTracing and subtree,RWX
ENodeB_Application_SecurityAdministrator,SystemFunctions,Schema,RX
Support_Application_Administrator,SystemFunctions,Schema,RX
Transport_Application_SecurityAdministrator,Transport,MacSecCa,RWX
ENodeB_Application_Administrator,SystemFunctions,Pm and subtree,RWX
Support_Application_Administrator,Equipment,ThirdPartyRiPort and subtree,RWX
NodeB_Application_Administrator,Equipment,OpmUnit and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,UeCC and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,IuaProfile and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,DlComp and subtree,RWX
Bts_Application_Administrator,Equipment,HereIAmIndication and subtree,RWX
NodeB_Application_Administrator,Equipment,Equipment and subtree,R
GNodeB_Application_User,SystemFunctions,Lm and subtree,R
Support_Application_User,Equipment,HwGroup and subtree,R
ENodeB_Application_Administrator,GNBCUCPFunction,ResourcePartitions and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,Periodic and subtree,RWX
NodeB_Application_Administrator,Equipment,BbProcessingResource and subtree,RWX
GNodeB_Application_Administrator,Equipment,IntegrityProtection and subtree,RWX
ENodeB_Application_Administrator,Equipment,SyncPort and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,EUtranCellTDD and subtree,RWX
Support_Application_User,Equipment,Equipment,R
GNodeB_Application_SecurityAdministrator,GNBDUFunction,GNBDUFunction and subtree,R
GNodeB_Application_Administrator,Equipment,ORadio and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,TimerProfile and subtree,RWX
ENodeB_Application_Administrator,SystemFunctions,LogM and subtree,RWX
Support_Application_User,NodeSupport,NodeSupport,R
ENodeB_Application_Administrator,ENodeBFunction,ENodeBFunction and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,LoadBalancingFunction and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,UeMC and subtree,RWX
Transport_Application_Administrator,Transport,ExtendedTransport and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,EndpointResource and subtree,RWX
ENodeB_Application_Administrator,SystemFunctions,Schema,RX
GNodeB_Application_Administrator,GNBCUCPFunction,UeGroupSelection and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,ParameterChangeRequests and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,NbIdleModeLoadDistr and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,NodePerformance and subtree,RWX
ENodeB_Application_Administrator,Equipment,DiPort and subtree,RWX
NodeB_Application_Administrator,Equipment,EcBus and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,SectorCarrier and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,Rcs and subtree,RWX
ENodeB_Application_Administrator,Equipment,SfpModule and subtree,RWX
Bts_Application_Administrator,Equipment,BootSwUpgrade and subtree,RWX
Bts_Application_User,SystemFunctions,Schema,RX
ENodeB_Application_Administrator,GNBDUFunction,RadioBearerTable and subtree,RWX
Bts_Application_User,ManagedElement,ManagedElement,R
ENodeB_Application_Administrator,ENodeBFunction,SubscriberProfileID and subtree,RWX
Transport_Application_Administrator,Transport,VlanPort and subtree,RWX
ENodeB_Application_Administrator,Equipment,Equipment,RWX
ENodeB_Application_Administrator,ENodeBFunction,AmoFunction and subtree,RWX
Bts_Application_Administrator,SystemFunctions,FmAlarm and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,MdtConfiguration and subtree,RWX
ENodeB_Application_Administrator,Equipment,SyncTestInterface and subtree,RWX
ENodeB_Application_SecurityAdministrator,GNBCUCPFunction,SecurityHandling and subtree,RWX
Bts_Application_User,SystemFunctions,Fm and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,EndcDistrProfile and subtree,RWX
ENodeB_Application_Administrator,Equipment,Equipment and subtree,R
GNodeB_Application_Administrator,GNBCUCPFunction,QciProfileEndcConfigExt and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,Band46UnlicensedProfile and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,PciHandling and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,EUtranCellFDD and subtree,RWX
ENodeB_Application_Administrator,Equipment,EnergyMeter and subtree,RWX
Transport_Application_Administrator,Transport,TransportAutomationAgent and subtree,RWX
GNodeB_Application_Administrator,Equipment,RcvdPowerScanner and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,EndcProfile and subtree,RWX
ENodeB_Application_Administrator,Equipment,TnPort and subtree,RWX
Support_Application_Administrator,Equipment,AntennaNearUnit and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,CUCP5qiTable and subtree,RWX
NodeB_Application_Administrator,Equipment,IplPort and subtree,RWX
ENodeB_Application_Administrator,Equipment,HereIAmIndication and subtree,RWX
Bts_Application_User,SystemFunctions,Lm and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,PwsCmas and subtree,RWX
ENodeB_Application_Administrator,SystemFunctions,SystemFunctions,R
