Role,Model,MO Class Name,Access Rule
Bts_Application_Administrator,Equipment,Equipment and subtree,R
NodeB_Application_Administrator,Equipment,AntennaNearUnit and subtree,RWX
ENodeB_Application_Administrator,Equipment,RiLink and subtree,RWX
NodeB_Application_Administrator,Equipment,FieldReplaceableUnit,RWX
Transport_Application_SecurityAdministrator,Transport,MacSecUcp,RWX
Bts_Application_Administrator,Equipment,RcvdPowerScanner and subtree,RWX
Bts_Application_Administrator,Equipment,AntennaUnitGroup and subtree,RWX
Support_Application_Administrator,ManagedElement,ManagedElement,R
GNodeB_Application_Administrator,GNBCUCPFunction,NrdcControl and subtree,RWX
Bts_Application_Administrator,Equipment,AlarmPort and subtree,RWX
Support_Application_Administrator,Equipment,RcvdPowerScanner and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,EmCall and subtree,RWX
Bts_Application_Administrator,Equipment,TnPort and subtree,RWX
Transport_Application_Administrator,SystemFunctions,Ntp and subtree,RWX
Bts_Application_Administrator,Transport,Transport and subtree,RWX
GNodeB_Application_Administrator,Equipment,Transceiver and subtree,RWX
Transport_Application_Administrator,Transport,Router and subtree,RWX
Support_Application_User,Equipment,ExternalNode and subtree,R
GNodeB_Application_Administrator,Equipment,RfPort and subtree,RWX
NodeB_Application_Administrator,Equipment,ORadio and subtree,RWX
Support_Application_User,SystemFunctions,Fm and subtree,R
NodeB_Application_Administrator,Equipment,Equipment,RWX
GNodeB_Application_Administrator,SystemFunctions,PmEventM and subtree,RWX
ENodeB_Application_Administrator,MceFunction,MceFunction and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,EndcUserProfile and subtree,RWX
ENodeB_Application_Administrator,ManagedElement,ManagedElement,R
ENodeB_Application_Administrator,ENodeBFunction,UeProfile and subtree,RWX
Bts_Application_Administrator,Equipment,ORiPort and subtree,RWX
NodeB_Application_User,SystemFunctions,Schema,RX
GNodeB_Application_Administrator,GNBCUCPFunction,TermPointToAmf and subtree,RWX
ENodeB_Application_Administrator,GNBDUFunction,DrxProfile and subtree,RWX
GNodeB_Application_Administrator,Equipment,RiNetwork and subtree,RWX
NodeB_Application_Administrator,Equipment,AlarmPort and subtree,RWX
ENodeB_Application_Administrator,Equipment,RiPort and subtree,RWX
NodeB_Application_User,SystemFunctions,Lm and subtree,R
NodeB_Application_Administrator,Equipment,SfpModule and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,Cdma2000Network and subtree,RWX
Support_Application_Administrator,Equipment,MpProcessingResource and subtree,RWX
GNodeB_Application_Administrator,Equipment,PimcHwacControl and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,CellSleepNodeFunction and subtree,RWX
Bts_Application_Administrator,Equipment,PimcHwacControl and subtree,RWX
ENodeB_Application_Administrator,GNBDUFunction,Paging and subtree,RWX
GNodeB_Application_User,GNBDUFunction,GNBDUFunction and subtree,R
Bts_Application_User,Transport,Transport and subtree,R
NodeB_Application_User,NodeBFunction,NodeBFunction and subtree,R
ENodeB_Application_Administrator,GNBCUUPFunction,RpUserPlaneTermination and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,ENodeBFunction,RWX
Bts_Application_Administrator,SystemFunctions,Lm and subtree,RWX
Support_Application_Administrator,NodeSupport,OnSiteActivities and subtree,RWX
Support_Application_Administrator,Equipment,TnPort and subtree,RWX
Bts_Application_Administrator,Equipment,FieldReplaceableUnit and subtree,R
GNodeB_Application_Administrator,GNBCUCPFunction,AnrFunction and subtree,RWX
GNodeB_Application_Administrator,Equipment,MpProcessingResource and subtree,RWX
GNodeB_Application_Administrator,Equipment,RiPort and subtree,RWX
NodeB_Application_Administrator,SystemFunctions,SystemFunctions,R
GNodeB_Application_User,SystemFunctions,Schema,RX
GNodeB_Application_Administrator,GNBCUCPFunction,PriorityService and subtree,RWX
ENodeB_Application_Administrator,Equipment,PlugInModule and subtree,RWX
Support_Application_User,Equipment,SupportUnit and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,CarrierAggregationFunction and subtree,RWX
ENodeB_Application_User,NodeSupport,NodeSupport and subtree,R
Support_Application_Administrator,Equipment,IntegrityProtection and subtree,RWX
Bts_Application_Administrator,Equipment,SyncTestInterface and subtree,RWX
NodeB_Application_User,SystemFunctions,SystemFunctions,R
GNodeB_Application_Administrator,Equipment,ThirdPartyRiPort and subtree,RWX
NodeB_Application_Administrator,Equipment,Enclosure and subtree,RWX
ENodeB_Application_User,SystemFunctions,Schema,RX
ENodeB_Application_Administrator,SystemFunctions,Fm and subtree,R
Transport_Application_Administrator,Transport,EthernetVirtualConnection and subtree,RWX
Support_Application_Administrator,Equipment,EcPort and subtree,RWX
ENodeB_Application_Administrator,Equipment,RfPort and subtree,RWX
ENodeB_Application_User,ENodeBFunction,ENodeBFunction and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,DynamicBlerTarget and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,TermPointToSGW and subtree,RWX
GNodeB_Application_Administrator,Equipment,PlugInModule and subtree,RWX
Transport_Application_Administrator,Transport,Ikev2PolicyProfile and subtree,RWX
Support_Application_User,NodeSupport,ConsumedEnergyMeasurement and subtree,R
Support_Application_Administrator,Equipment,ExtOamAgent and subtree,RWX
Support_Application_Administrator,Equipment,DiPort and subtree,RWX
NodeB_Application_Administrator,Equipment,RiNetwork and subtree,RWX
Transport_Application_Administrator,Transport,QosProfiles and subtree,RWX
GNodeB_Application_User,GNBCUUPFunction,GNBCUUPFunction and subtree,R
GNodeB_Application_User,ManagedElement,ManagedElement,R
GNodeB_Application_Administrator,Equipment,IplPort and subtree,RWX
ENodeB_Application_Administrator,Equipment,RiNetwork and subtree,RWX
Support_Application_User,SystemFunctions,Pm and subtree,R
GNodeB_Application_Administrator,SystemFunctions,Fm and subtree,R
Support_Application_Administrator,Equipment,SfpModule and subtree,RWX
GNodeB_Application_Administrator,Equipment,AlarmPort and subtree,RWX
GNodeB_Application_Administrator,Equipment,RadioProcessing and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,TermPointToGNBDU and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,AutoCellCapEstFunction and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,FlexibleQoSFunction and subtree,RWX
Bts_Application_Administrator,Equipment,PlugInModule and subtree,RWX
Bts_Application_Administrator,ManagedElement,ManagedElement,R
Bts_Application_Administrator,SystemFunctions,Fm and subtree,R
ENodeB_Application_Administrator,Equipment,Transceiver and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,PmEventService and subtree,RWX
GNodeB_Application_User,GNBCUCPFunction,GNBCUCPFunction and subtree,R
Bts_Application_User,SystemFunctions,LogM and subtree,RX
Support_Application_Administrator,Equipment,RiPort and subtree,RWX
GNodeB_Application_User,Equipment,Equipment and subtree,R
ENodeB_Application_Administrator,Equipment,RcvdPowerScanner and subtree,RWX
Bts_Application_Administrator,Equipment,ORadio and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,UlCompGroup and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,FastCoordinationGroup and subtree,RWX
Support_Application_User,Equipment,EcBus and subtree,R
GNodeB_Application_Administrator,Equipment,SyncPort and subtree,RWX
Bts_Application_Administrator,Equipment,ThirdPartyRiPort and subtree,RWX
ENodeB_Application_Administrator,Equipment,FieldReplaceableUnit and subtree,R
NodeB_Application_Administrator,Equipment,SupportUnit and subtree,RWX
ENodeB_Application_Administrator,Equipment,AntennaUnitGroup and subtree,RWX
NodeB_Application_Administrator,SystemFunctions,BrmBackupManager,RX
NodeB_Application_Administrator,Equipment,MpProcessingResource and subtree,RWX
Bts_Application_Administrator,Equipment,AntennaNearUnit and subtree,RWX
NodeB_Application_Administrator,Equipment,RcvdPowerScanner and subtree,RWX
NodeB_Application_Administrator,Equipment,ExternalNode and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,TrafficOffload and subtree,RWX
ENodeB_Application_Administrator,Equipment,DotGroupConfig and subtree,RWX
GNodeB_Application_User,SystemFunctions,Fm and subtree,R
ENodeB_Application_User,SystemFunctions,PmEventM and subtree,R
ENodeB_Application_Administrator,Equipment,IplPort and subtree,RWX
ENodeB_Application_Administrator,Transport,Transport and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,AdditionalCoreNetwork and subtree,RWX
Transport_Application_Administrator,Transport,Transport,RWX
Transport_Application_SecurityAdministrator,Transport,PacketCapture and subtree,RWX
GNodeB_Application_Administrator,Equipment,ORiPort and subtree,RWX
NodeB_Application_Administrator,SystemFunctions,Schema,RX
ENodeB_Application_Administrator,Equipment,EFuse and subtree,RWX
Support_Application_Administrator,NodeSupport,ConsumedEnergyMeasurement and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,AdmissionControl and subtree,RWX
GNodeB_Application_Administrator,ManagedElement,ManagedElement,R
NodeB_Application_Administrator,Equipment,RadioProcessing and subtree,RWX
GNodeB_Application_Administrator,NodeSupport,NodeSupport and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,Mcpc and subtree,RWX
ENodeB_Application_Administrator,Equipment,AntennaNearUnit and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,NonPlannedPciDrxProfile and subtree,RWX
Support_Application_Administrator,Equipment,FieldReplaceableUnit and subtree,R
GNodeB_Application_Administrator,Equipment,TnPort and subtree,RWX
ENodeB_Application_Administrator,Equipment,MpProcessingResource and subtree,RWX
Bts_Application_User,BtsFunction,BtsFunction and subtree,R
NodeB_Application_Administrator,Equipment,IntegrityProtection and subtree,RWX
ENodeB_Application_Administrator,Equipment,ORiPort and subtree,RWX
NodeB_Application_Administrator,Equipment,RdiPort and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,SpectrumSharingFunction and subtree,RWX
NodeB_Application_Administrator,Equipment,DotGroupConfig and subtree,RWX
Support_Application_User,NodeSupport,OnSiteActivities and subtree,R
ENodeB_Application_Administrator,Equipment,RdiPort and subtree,RWX
ENodeB_Application_Administrator,GNBCUCPFunction,EUtraNetwork and subtree,RWX
GNodeB_Application_Administrator,Equipment,DotGroupConfig and subtree,RWX
Bts_Application_Administrator,Equipment,SyncPort and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,GeraNetwork and subtree,RWX
Support_Application_User,SystemFunctions,LogM and subtree,RX
NodeB_Application_Administrator,Equipment,HwGroup and subtree,RWX
GNodeB_Application_SecurityAdministrator,GNBCUCPFunction,GNBCUCPFunction and subtree,R
GNodeB_Application_Administrator,Equipment,AntennaNearUnit and subtree,RWX
NodeB_Application_Administrator,Equipment,DiPort and subtree,RWX
Support_Application_Administrator,SystemFunctions,LogM and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,NbIotCell and subtree,RWX
GNodeB_Application_Administrator,Equipment,BootSwUpgrade and subtree,RWX
Support_Application_Administrator,Equipment,AlarmPort and subtree,RWX
ENodeB_Application_Administrator,Equipment,ThirdPartyRiPort and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,PtmFunction and subtree,RWX
ENodeB_Application_Administrator,Equipment,PimcHwacControl and subtree,RWX
ENodeB_Application_User,Equipment,Equipment and subtree,R
ENodeB_Application_Administrator,GNBCUCPFunction,AnrFunction and subtree,RWX
Support_Application_Administrator,Equipment,PimcHwacControl and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,UeUlResMon and subtree,RWX
Support_Application_Administrator,Equipment,EFuse and subtree,RWX
NodeB_Application_Administrator,Equipment,HereIAmIndication and subtree,RWX
GNodeB_Application_Administrator,Equipment,DiPort and subtree,RWX
Support_Application_Administrator,Equipment,HwGroup and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,IntraFreqMC and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,Mdt and subtree,RWX
ENodeB_Application_Administrator,GNBCUCPFunction,Rrc and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,CarrierAggregation and subtree,RWX
Bts_Application_Administrator,Equipment,RfPort and subtree,RWX
Support_Application_Administrator,SystemFunctions,SystemFunctions,R
Transport_Application_Administrator,Transport,Synchronization and subtree,RWX
Bts_Application_Administrator,Equipment,IplPort and subtree,RWX
NodeB_Application_Administrator,ManagedElement,ManagedElement,R
ENodeB_Application_Administrator,SystemFunctions,BrmBackupManager,RX
Bts_Application_Administrator,SystemFunctions,BrmBackupManager,RX
ENodeB_Application_Administrator,Equipment,AlarmPort and subtree,RWX
Bts_Application_Administrator,SystemFunctions,SystemFunctions,R
ENodeB_Application_Administrator,Equipment,BootSwUpgrade and subtree,RWX
NodeB_Application_Administrator,SystemFunctions,Pm and subtree,RWX
NodeB_Application_Administrator,Equipment,ThirdPartyRiPort and subtree,RWX
GNodeB_Application_Administrator,SystemFunctions,LogM and subtree,RWX
ENodeB_Application_Administrator,GNBCUUPFunction,PpControlTermination and subtree,RWX
ENodeB_Application_SecurityAdministrator,MceFunction,MceFunction and subtree,R
NodeB_Application_Administrator,Equipment,TnPort and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,PmUeMeas and subtree,RWX
Bts_Application_Administrator,SystemFunctions,LogM and subtree,RWX
NodeB_Application_Administrator,Equipment,AntennaUnitGroup and subtree,RWX
Support_Application_Administrator,Equipment,Equipment,RWX
GNodeB_Application_Administrator,Equipment,SfpModule and subtree,RWX
Support_Application_User,ManagedElement,ManagedElement,R
GNodeB_Application_Administrator,SystemFunctions,Pm and subtree,RWX
GNodeB_Application_Administrator,Equipment,RiLink and subtree,RWX
ENodeB_Application_Administrator,Equipment,NetworkIdentity and subtree,RWX
Bts_Application_Administrator,Equipment,FieldReplaceableUnit,RWX
GNodeB_Application_User,SystemFunctions,LogM and subtree,RX
GNodeB_Application_SecurityAdministrator,GNBCUCPFunction,SecurityHandling and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,NRCellCU and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,CtsFunction and subtree,RWX
ENodeB_Application_Administrator,SystemFunctions,Lm and subtree,RWX
NodeB_Application_Administrator,Equipment,SyncTestInterface and subtree,RWX
Bts_Application_Administrator,Equipment,IntegrityProtection and subtree,RWX
Support_Application_Administrator,Equipment,ORadio and subtree,RWX
Bts_Application_Administrator,Equipment,MpProcessingResource and subtree,RWX
Bts_Application_Administrator,SystemFunctions,Pm and subtree,RWX
Support_Application_Administrator,Equipment,SyncPort and subtree,RWX
Support_Application_Administrator,Equipment,DotGroupConfig and subtree,RWX
Support_Application_Administrator,Equipment,BootSwUpgrade and subtree,RWX
ENodeB_Application_Administrator,Equipment,ORadio and subtree,RWX
ENodeB_Application_User,SystemFunctions,LogM and subtree,RX
Bts_Application_Administrator,Equipment,Transceiver and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,GNBCUCPFunction and subtree,R
ENodeB_Application_User,Transport,Transport and subtree,R
GNodeB_Application_User,SystemFunctions,Pm and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,UnlicensedAccessFunction and subtree,RWX
GNodeB_Application_Administrator,SystemFunctions,BrmBackupManager,RX
Support_Application_Administrator,Equipment,HereIAmIndication and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,TermPointToGNBCUUP and subtree,RWX
GNodeB_Application_Administrator,GNBCUUPFunction,GNBCUUPFunction and subtree,R
Bts_Application_Administrator,Equipment,DotGroupConfig and subtree,RWX
Support_Application_Administrator,Equipment,EnergyMeter and subtree,RWX
Transport_Application_Administrator,Transport,Bridge and subtree,RWX
Support_Application_Administrator,Equipment,FieldReplaceableUnit,RWX
ENodeB_Application_User,SystemFunctions,Lm and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,RlfProfile and subtree,RWX
NodeB_Application_Administrator,Equipment,RfPort and subtree,RWX
GNodeB_Application_User,NodeSupport,NodeSupport and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,SubscriberGroupProfile and subtree,RWX
ENodeB_Application_Administrator,Equipment,ExtOamAgent and subtree,RWX
GNodeB_Application_Administrator,Transport,Transport and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,ImeisvTable and subtree,RWX
Support_Application_Administrator,Equipment,PlugInModule and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,GUtraNetwork and subtree,RWX
Bts_Application_Administrator,Equipment,DiPort and subtree,RWX
NodeB_Application_Administrator,Equipment,ExtOamAgent and subtree,RWX
GNodeB_Application_Administrator,Equipment,AntennaUnitGroup and subtree,RWX
Bts_Application_Administrator,NodeSupport,NodeSupport and subtree,RWX
Support_Application_Administrator,Equipment,ExternalNode and subtree,RWX
Support_Application_Administrator,SystemFunctions,Pm and subtree,RWX
Support_Application_Administrator,Equipment,RfPort and subtree,RWX
GNodeB_Application_SecurityAdministrator,SystemFunctions,Schema,RX
GNodeB_Application_Administrator,GNBCUCPFunction,Nccm and subtree,RWX
GNodeB_Application_Administrator,Equipment,HereIAmIndication and subtree,RWX
GNodeB_Application_Administrator,Equipment,BbProcessingResource and subtree,RWX
NodeB_Application_Administrator,Equipment,NetworkIdentity and subtree,RWX
GNodeB_Application_User,SystemFunctions,PmEventM and subtree,R
GNodeB_Application_User,Transport,Transport and subtree,R
Support_Application_Administrator,Equipment,Cabinet and subtree,RWX
Support_Application_Administrator,Equipment,SyncTestInterface and subtree,RWX
GNodeB_Application_Administrator,SystemFunctions,SystemFunctions,R
ENodeB_Application_Administrator,Equipment,IntegrityProtection and subtree,RWX
NodeB_Application_Administrator,Equipment,EcPort and subtree,RWX
NodeB_Application_Administrator,Equipment,BootSwUpgrade and subtree,RWX
NodeB_Application_Administrator,Equipment,DiLink and subtree,RWX
GNodeB_Application_Administrator,SystemFunctions,Lm and subtree,RWX
NodeB_Application_User,SystemFunctions,PmEventM and subtree,R
GNodeB_Application_Administrator,SystemFunctions,Schema,RX
GNodeB_Application_Administrator,Equipment,EcPort and subtree,RWX
Transport_Application_Administrator,Transport,BfdProfile and subtree,RWX
Bts_Application_Administrator,Equipment,BbProcessingResource and subtree,RWX
Transport_Application_SecurityAdministrator,Transport,MacSecProfile,RWX
ENodeB_Application_Administrator,ENodeBFunction,AirIfLoadProfile and subtree,RWX
NodeB_Application_Administrator,SystemFunctions,PmEventM and subtree,RWX
Support_Application_Administrator,Equipment,Transceiver and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,PlmnAbConfProfile and subtree,RWX
Support_Application_Administrator,Equipment,NetworkIdentity and subtree,RWX
Support_Application_Administrator,SystemFunctions,FmAlarm and subtree,RWX
NodeB_Application_Administrator,Equipment,Transceiver and subtree,RWX
Transport_Application_Administrator,Transport,IpsecProposalProfile and subtree,RWX
Bts_Application_Administrator,Equipment,RiLink and subtree,RWX
NodeB_Application_Administrator,Equipment,Cabinet and subtree,RWX
Transport_Application_Administrator,Transport,EthernetPort and subtree,RWX
GNodeB_Application_SecurityAdministrator,GNBCUUPFunction,GNBCUUPFunction and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,MeasCellGroup and subtree,RWX
ENodeB_Application_User,SystemFunctions,Fm and subtree,R
Support_Application_User,SystemFunctions,SystemFunctions,R
Bts_Application_Administrator,BtsFunction,BtsFunction and subtree,RWX
Support_Application_Administrator,Equipment,RadioProcessing and subtree,RWX
NodeB_Application_Administrator,Equipment,EFuse and subtree,RWX
GNodeB_Application_Administrator,Equipment,Equipment and subtree,R
GNodeB_Application_Administrator,Equipment,FieldReplaceableUnit and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,UtraNetwork and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,NrdcSnTermination and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,CellResources and subtree,RWX
GNodeB_Application_Administrator,Equipment,FieldReplaceableUnit,RWX
ENodeB_Application_Administrator,Equipment,FieldReplaceableUnit,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,TrafficSteering and subtree,RWX
NodeB_Application_Administrator,Equipment,SyncPort and subtree,RWX
Bts_Application_User,SystemFunctions,SystemFunctions,R
Bts_Application_Administrator,Equipment,EFuse and subtree,RWX
Bts_Application_Administrator,Equipment,SfpModule and subtree,RWX
Bts_Application_Administrator,Equipment,EcPort and subtree,RWX
GNodeB_Application_Administrator,Equipment,EFuse and subtree,RWX
Transport_Application_Administrator,Transport,Lldp and subtree,RWX
Bts_Application_Administrator,Equipment,RdiPort and subtree,RWX
NodeB_Application_Administrator,Equipment,BatteryUnit and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,PreschedulingProfile and subtree,RWX
NodeB_Application_Administrator,Equipment,RiPort and subtree,RWX
Bts_Application_Administrator,Equipment,RiPort and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,Mcfb and subtree,RWX
NodeB_Application_User,ManagedElement,ManagedElement,R
GNodeB_Application_User,SystemFunctions,SystemFunctions,R
GNodeB_Application_Administrator,Equipment,Equipment,RWX
ENodeB_Application_Administrator,NodeSupport,NodeSupport and subtree,RWX
Bts_Application_Administrator,Equipment,NetworkIdentity and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,QciTable and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,UeCovMeas and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,EricssonLeanCarrierFunction and subtree,RWX
ENodeB_Application_User,SystemFunctions,Pm and subtree,R
ENodeB_Application_Administrator,GNBCUCPFunction,AdmissionControl and subtree,RWX
NodeB_Application_User,Equipment,Equipment and subtree,R
Transport_Application_Administrator,Transport,Ptp and subtree,RWX
Support_Application_User,Equipment,Cabinet and subtree,R
GNodeB_Application_Administrator,GNBCUUPFunction,GNBCUUPFunction and subtree,RWX
Bts_Application_Administrator,SystemFunctions,PmEventM and subtree,RWX
Support_Application_User,Equipment,FieldReplaceableUnit and subtree,R
Transport_Application_Administrator,Transport,SctpEndpoint and subtree,RWX
NodeB_Application_User,SystemFunctions,Pm and subtree,R
GNodeB_Application_Administrator,GNBCUCPFunction,EUtraNetwork and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,ResourcePartitions and subtree,RWX
Support_Application_Administrator,Equipment,ORiPort and subtree,RWX
Transport_Application_SecurityAdministrator,Transport,MacSecCp,RWX
ENodeB_Application_Administrator,SystemFunctions,FmAlarm and subtree,RWX
ENodeB_Application_User,MceFunction,MceFunction and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,TermPointToMme and subtree,RWX
NodeB_Application_Administrator,Equipment,PlugInModule and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,GNBCUCPFunction,RWX
NodeB_Application_Administrator,Equipment,CcLink and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,UeMeasControlCommon and subtree,RWX
GNodeB_Application_Administrator,Equipment,EnergyMeter and subtree,RWX
Support_Application_Administrator,Equipment,RdiPort and subtree,RWX
NodeB_Application_Administrator,Equipment,EnergyMeter and subtree,RWX
ENodeB_Application_SecurityAdministrator,ENodeBFunction,ENodeBFunction and subtree,R
Transport_Application_Administrator,Transport,Sctp and subtree,RWX
ENodeB_Application_User,SystemFunctions,SystemFunctions,R
Bts_Application_User,SystemFunctions,PmEventM and subtree,R
ENodeB_Application_Administrator,Equipment,BbProcessingResource and subtree,RWX
GNodeB_Application_Administrator,Equipment,NetworkIdentity and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,PmFlexCounterFilter and subtree,RWX
Transport_Application_Administrator,Transport,LagPort and subtree,RWX
Bts_Application_User,NodeSupport,NodeSupport and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,ResourcePartitionGroup and subtree,RWX
NodeB_Application_Administrator,SystemFunctions,Lm and subtree,RWX
Transport_Application_Administrator,Transport,EthernetOamLocalMep and subtree,RWX
Support_Application_Administrator,SystemFunctions,Fm and subtree,R
