specificProblem,eventType,probableCause,perceivedSeverity,MO Class Name,Model
GNSS Receiver Firmware Upgrade Failure,equipmentAlarm,x733EquipmentMalfunction,WARNING,GnssInfo,Transport
License System Triggered Unlock Activated,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,Lm,SystemFunctions
Indoor RAP No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
Indoor RAP No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,RdiPort,Equipment
Indoor RAP Configuration Not Consistent With Installed Equipment,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,RuFlexibleBw,NodeSupport
SW Error,processingErrorAlarm,x733SoftwareError,MINOR,AntennaNearUnit,Equipment
SW Error,processingErrorAlarm,x733SoftwareError,MAJOR,EUtranCellFDD,ENodeBFunction
SW Error,processingErrorAlarm,x733SoftwareError,MAJOR,EUtranCellTDD,ENodeBFunction
SW Error,processingErrorAlarm,x733SoftwareError,MINOR,FieldReplaceableUnit,Equipment
SW Error,processingErrorAlarm,x733SoftwareError,MAJOR,NRCellDU,GNBDUFunction
SW Error,processingErrorAlarm,x733SoftwareError,MINOR,NRSectorCarrier,GNBDUFunction
SW Error,processingErrorAlarm,x733SoftwareError,MAJOR,NbIotCell,ENodeBFunction
SW Error,processingErrorAlarm,x733SoftwareError,MINOR,SectorCarrier,ENodeBFunction
Sync Frequency PDV Problem,communicationsAlarm,m3100Unavailable,WARNING,RadioEquipmentClockReference,Transport
Indoor RAP Communication Problem,equipmentAlarm,gsm1211LinkFailure,MINOR,RdiPort,Equipment
LTE Anchor Service Unavailable,communicationsAlarm,m3100Unavailable,MAJOR,GNBCUCPFunction,GNBCUCPFunction
Carrier Control All Resources Allocated to Other RAT,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Carrier Control All Resources Allocated to Other RAT,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SectorCarrier,ENodeBFunction
Node Group Sync Loss of All SoCC,equipmentAlarm,gsm1211ClockSynchronisationProblem,WARNING,NodeGroupSyncMember,Transport
PIM Level Too High,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,PimCancellationFunction,NodeSupport
System Overvoltage,equipmentAlarm,m3100PowerProblem,MAJOR,PowerDistribution,EquipmentSupportFunction
System Overvoltage,equipmentAlarm,m3100PowerProblem,MAJOR,PowerSupply,EquipmentSupportFunction
Sync PTP Time PDV Problem,communicationsAlarm,m3100Unavailable,MAJOR,RadioEquipmentClockReference,Transport
Partly Disconnected,equipmentAlarm,x733EquipmentMalfunction,MINOR,SupportUnit,Equipment
Calendar Clock Misaligned,processingErrorAlarm,x733UnderlyingResourceUnavailable,WARNING,SysM,SystemFunctions
Battery High Temperature,environmentalAlarm,m3100HighTemperature,MINOR,SupportUnit,Equipment
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellFDD,ENodeBFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellTDD,ENodeBFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,ExtTrx,BtsFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NbIotCell,ENodeBFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NodeBLocalCell,NodeBFunction
Power Saving Capacity Limit Exceeded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,Trx,BtsFunction
Log Has Reached Full Capacity,processingErrorAlarm,x733FileError,WARNING,Log,SystemFunctions
DHCP Requested Parameter Missing,communicationsAlarm,x733CommunicationsProtocolError,MAJOR,InterfaceIPv4,Transport
VSWR Over Threshold,equipmentAlarm,x733EquipmentMalfunction,MINOR,RfPort,Equipment
TMF Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,AntennaNearUnit,Equipment
FRU General Problem,processingErrorAlarm,x733SoftwareProgramError,MINOR,FieldReplaceableUnit,Equipment
Default AMF PLMN Service Unavailable,communicationsAlarm,m3100Unavailable,MAJOR,GNBCUCPFunction,GNBCUCPFunction
Synchronization Lost,equipmentAlarm,gsm1211ClockSynchronisationProblem,MAJOR,FieldReplaceableUnit,Equipment
IKE Peer Not Reachable,communicationsAlarm,m3100Unavailable,MAJOR,Ikev2Session,Transport
Archive Disk Almost Full,processingErrorAlarm,m3100StorageCapacityProblem,WARNING,SystemFunctions,SystemFunctions
Cell State Inactive,processingErrorAlarm,x733UnderlyingResourceUnavailable,MAJOR,NRCellCU,GNBCUCPFunction
SyncE Reference Failed,equipmentAlarm,gsm1211ClockSynchronisationProblem,WARNING,RadioEquipmentClockReference,Transport
ASD Not Calibrated,equipmentAlarm,x733EquipmentMalfunction,MINOR,AsdSubUnit,Equipment
Indoor RAP Temperature Exceptional,environmentalAlarm,x733TemperatureUnacceptable,MINOR,FieldReplaceableUnit,Equipment
FrequencySyncIO Reference Failed,equipmentAlarm,gsm1211ClockSynchronisationProblem,WARNING,RadioEquipmentClockReference,Transport
SW Download Failure,processingErrorAlarm,m3100SoftwareDownloadFailure,MINOR,AntennaNearUnit,Equipment
SW Download Failure,processingErrorAlarm,m3100SoftwareDownloadFailure,WARNING,BootSwUpgrade,Equipment
SW Download Failure,processingErrorAlarm,m3100SoftwareDownloadFailure,MINOR,FieldReplaceableUnit,Equipment
Output Current Too High,environmentalAlarm,gsm1211ExternalEquipmentFailure,MINOR,SupportUnit,Equipment
Feeder Cable Incorrectly Connected,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,AntennaUnitGroup,Equipment
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,EUtranCellFDD,ENodeBFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,EUtranCellTDD,ENodeBFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,ExtTrx,BtsFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MINOR,NRSectorCarrier,GNBDUFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,NbIotCell,ENodeBFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,NodeBLocalCell,NodeBFunction
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MINOR,PimCancellationFunction,NodeSupport
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,SectorEquipmentFunction,NodeSupport
Resource Activation Timeout,processingErrorAlarm,gsm1211TimeoutExpired,MAJOR,Trx,BtsFunction
Fan Speed Continuously High,processingErrorAlarm,x733SoftwareError,MINOR,Climate,EquipmentSupportFunction
Node Group Sync Configuration Fault,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,NodeGroupSyncMember,Transport
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,AntennaNearUnit,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,BatteryBackup,EquipmentSupportFunction
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,BatteryUnit,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MAJOR,Cabinet,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MAJOR,EcBus,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MAJOR,EquipmentSupportFunction,EquipmentSupportFunction
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,ExternalNode,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MAJOR,FanGroup,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MAJOR,PlugInModule,Equipment
No Connection,equipmentAlarm,x733EquipmentMalfunction,MINOR,SupportUnit,Equipment
Fan Degraded,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
Aggregated Ethernet Link Failure,communicationsAlarm,m3100LossOfSignal,MINOR,LagPort,Transport
CBRS Service Unavailable,communicationsAlarm,m3100Unavailable,MAJOR,ENodeBFunction,ENodeBFunction
CBRS Service Unavailable,communicationsAlarm,m3100Unavailable,MAJOR,NRSectorCarrier,GNBDUFunction
Temperature Low,environmentalAlarm,m3100LowTemperature,WARNING,FieldReplaceableUnit,Equipment
Sync Time and Phase Accuracy Too Low,qualityOfServiceAlarm,x733PerformanceDegraded,MINOR,ENodeBFunction,ENodeBFunction
Sync Time and Phase Accuracy Too Low,qualityOfServiceAlarm,x733PerformanceDegraded,MINOR,NRSynchronization,GNBDUFunction
SCTP Endpoint Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,ENodeBFunction,ENodeBFunction
HW Fault,equipmentAlarm,x733EquipmentMalfunction,MINOR,AntennaNearUnit,Equipment
HW Fault,equipmentAlarm,x733EquipmentMalfunction,MINOR,BatteryUnit,Equipment
HW Fault,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
HW Fault,equipmentAlarm,x733EquipmentMalfunction,MINOR,PlugInModule,Equipment
HW Fault,equipmentAlarm,x733EquipmentMalfunction,MINOR,RetSubUnit,Equipment
HW Fault,equipmentAlarm,x733EquipmentMalfunction,MAJOR,SupportUnit,Equipment
Cell Service Available Auto Recovery Successful Alert,other,m3100Indeterminate,WARNING,EUtranCellFDD,ENodeBFunction
Cell Service Available Auto Recovery Successful Alert,other,m3100Indeterminate,WARNING,EUtranCellTDD,ENodeBFunction
Cell Service Available Auto Recovery Successful Alert,other,m3100Indeterminate,WARNING,NRCellDU,GNBDUFunction
Cell Service Available Auto Recovery Successful Alert,other,m3100Indeterminate,WARNING,NbIotCell,ENodeBFunction
Cell Service Available Auto Recovery Successful Alert,other,m3100Indeterminate,WARNING,NodeBLocalCell,NodeBFunction
Autonomous Mode Activated,communicationsAlarm,x733CommunicationsSubsystemFailure,MAJOR,AutonomousMode,SystemFunctions
DHCP Lease Expiry,communicationsAlarm,x733CommunicationsProtocolError,WARNING,InterfaceIPv4,Transport
MO Configuration Pending Action,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NRCellDU,GNBDUFunction
MO Configuration Pending Action,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
GLS Failure,equipmentAlarm,x733EquipmentMalfunction,MINOR,GlsSubUnit,Equipment
OPM Internal Failure,equipmentAlarm,x733EquipmentMalfunction,MINOR,OpmUnit,Equipment
Temperature Sensor Failure,equipmentAlarm,x733EquipmentMalfunction,MAJOR,BatteryBackup,EquipmentSupportFunction
Temperature Sensor Failure,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
License Key Not Available,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,FeatureState,SystemFunctions
Critical Temperature Taken Out of Service,environmentalAlarm,x733TemperatureUnacceptable,MAJOR,EFuse,Equipment
Critical Temperature Taken Out of Service,environmentalAlarm,x733TemperatureUnacceptable,MINOR,FieldReplaceableUnit,Equipment
Critical Temperature Taken Out of Service,environmentalAlarm,x733TemperatureUnacceptable,MAJOR,SupportUnit,Equipment
IPL Cable Too Long,equipmentAlarm,gsm1211LinkFailure,MINOR,IplPort,Equipment
Input Power Failure,environmentalAlarm,gsm1211ExternalPowerSupplyFailure,MINOR,FieldReplaceableUnit,Equipment
Software Management Lost Connection to File Server,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,UpgradePackage,SystemFunctions
Large Number of Counters,qualityOfServiceAlarm,x733PerformanceDegraded,WARNING,Pm,SystemFunctions
High Operating Temperature Main Load Disconnected,equipmentAlarm,x733EquipmentMalfunction,MAJOR,PowerDistribution,EquipmentSupportFunction
License Additional Resources Request Sent Alert,other,m3100Indeterminate,WARNING,InstantaneousLicensing,NodeSupport
Number of HW Entities Mismatch,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,Cabinet,Equipment
Number of HW Entities Mismatch,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EcBus,Equipment
SyncE Reference Configuration Not Supported,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,RadioEquipmentClockReference,Transport
Personal Data Deidentification Disabled Alert,other,m3100Indeterminate,WARNING,SecurityHandling,GNBCUCPFunction
HW Partial Fault,equipmentAlarm,x733EquipmentMalfunction,MINOR,AntennaNearUnit,Equipment
HW Partial Fault,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
HW Partial Fault,equipmentAlarm,x733EquipmentMalfunction,WARNING,SupportUnit,Equipment
Fan Failure,equipmentAlarm,x733EquipmentMalfunction,MAJOR,FanGroup,Equipment
Fan Failure,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
Battery Level Low Main Load Disconnected,environmentalAlarm,m3100LowBatteryThreshold,MAJOR,BatteryBackup,EquipmentSupportFunction
PLMN Service Redundancy Lost,equipmentAlarm,gsm1211LinkFailure,WARNING,ENodeBFunction,ENodeBFunction
Input Power Insufficient Performance Degraded,environmentalAlarm,gsm1211ExternalPowerSupplyFailure,MINOR,FieldReplaceableUnit,Equipment
Critical Temperature Performance Degraded,environmentalAlarm,x733TemperatureUnacceptable,MINOR,FieldReplaceableUnit,Equipment
Calendar Clock All NTP Servers Unavailable,processingErrorAlarm,x733UnderlyingResourceUnavailable,MINOR,SysM,SystemFunctions
ASD Autoset Failed,equipmentAlarm,x733EquipmentMalfunction,WARNING,AsdSubUnit,Equipment
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellFDD,ENodeBFunction
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellTDD,ENodeBFunction
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,ExtTrx,BtsFunction
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NbIotCell,ENodeBFunction
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NodeBLocalCell,NodeBFunction
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,PimCancellationFunction,NodeSupport
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,SectorEquipmentFunction,NodeSupport
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,SyncPort,Equipment
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,Trx,BtsFunction
Resource Configuration Failure,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,UlCompGroup,ENodeBFunction
Indoor RAP Configuration Not Supported,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
PIM Desense Over Threshold,equipmentAlarm,gsm1211AntennaProblem,MINOR,RfPort,Equipment
PLMN Service Degraded,communicationsAlarm,m3100Unavailable,MINOR,EUtranCellFDD,ENodeBFunction
PLMN Service Degraded,communicationsAlarm,m3100Unavailable,MINOR,EUtranCellTDD,ENodeBFunction
PLMN Service Degraded,communicationsAlarm,m3100Unavailable,MINOR,NbIotCell,ENodeBFunction
Battery Level Low,environmentalAlarm,m3100LowBatteryThreshold,MINOR,BatteryBackup,EquipmentSupportFunction
Inter Node Carrier Aggregation Service Degraded,qualityOfServiceAlarm,x733PerformanceDegraded,MINOR,ExtGNBDUPartnerFunction,GNBDUFunction
Link Failure,equipmentAlarm,x733EquipmentMalfunction,MINOR,DiLink,Equipment
Link Failure,equipmentAlarm,x733EquipmentMalfunction,MINOR,RiLink,Equipment
Battery Discharge Current High Main Load Disconnected,environmentalAlarm,m3100BatteryDischarging,MAJOR,BatteryBackup,EquipmentSupportFunction
IKE Configuration Payload Fault,communicationsAlarm,x733CommunicationsProtocolError,MAJOR,Ikev2Session,Transport
LMT Cable Present,physicalViolation,x736CableTamper,WARNING,LmtAlarmControl,SystemFunctions
Calendar Clock NTP Time out of Bounds,processingErrorAlarm,m3100LossOfRealTimel,WARNING,Ntp,SystemFunctions
Inter Node Carrier Aggregation Service Unavailable,communicationsAlarm,m3100Unavailable,MINOR,ExtGNBDUPartnerFunction,GNBDUFunction
Inter Node Carrier Aggregation Service Unavailable,communicationsAlarm,m3100Unavailable,MINOR,ExternalENodeBFunction,GNBCUCPFunction
Indoor RAP Desensitization Noise Figure Out of Range,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SectorEquipmentFunction,NodeSupport
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,AbisIp,BtsFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellFDD,ENodeBFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellTDD,ENodeBFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,ExtOamAgent,Equipment
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,ExtTrx,BtsFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NRCellDU,GNBDUFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NbIotCell,ENodeBFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NodeBLocalCell,NodeBFunction
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,ORadio,Equipment
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,SectorEquipmentFunction,NodeSupport
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,ThirdPartyRiPort,Equipment
Configuration Requires Feature Activation,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,Trx,BtsFunction
Indoor RAP SW Error,processingErrorAlarm,x733SoftwareError,MINOR,FieldReplaceableUnit,Equipment
Theft Deterrence Board Restore Pending,processingErrorAlarm,x733ConfigurationOrCustomizationError,CRITICAL,TheftDeterrence,SystemFunctions
License Integration Unlock Activated,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,IntegrationUnlock,SystemFunctions
EFuse Tripped,environmentalAlarm,m3100FuseFailure,MINOR,EFuse,Equipment
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,EUtranCellFDD,ENodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,EUtranCellTDD,ENodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,ExtTrx,BtsFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NbIotCell,ENodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NodeBLocalCell,NodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NodeBSectorCarrier,NodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SectorCarrier,ENodeBFunction
Resource Allocation Failure Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,Trx,BtsFunction
Battery Voltage Too Low Prio Load Disconnected,equipmentAlarm,x733EquipmentMalfunction,MAJOR,PowerDistribution,EquipmentSupportFunction
Indoor RAP Incompatible HW Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,WARNING,RdiPort,Equipment
