pmEvent Name,Event Id,Event Type,Event Description and Trigger,Message Trace Depth (UE Trace),Interface Classification,OSS protocol definition (not used by eNB). Used for grouping pmEvents into groups in the Cell traceGUI (and sent by PMS/OSS at configuration/filter for a scanner),OSS Event Groups,Pico Support (Y/N),Deprecated since
INTERNAL_EVENT_ADMISSION_BLOCKING_STARTED,5211,Cell,The event is generated when the admission control function starts blocking resource requests for the cell.,"1,2",UU,INTERNAL,"SESSION_ESTABLISHMENT_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STOPPED,5212,Cell,The event is generated when the admission control function stops blocking resource requests for the cell.,"1,2",UU,INTERNAL,"SESSION_ESTABLISHMENT_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_EVENT_ADMISSION_BLOCKING_UPDATED,5213,Cell,The event is generated when the admission control function updates its status from Busy to Overload or vice versa.,"1,2",UU,INTERNAL,"SESSION_ESTABLISHMENT_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_EVENT_ADV_CELL_SUP_DETECTION,5228,Cell,Generated when Advanced Cell Supervision detects a sleeping cell.,"1,2,4,5",S1,INTERNAL,,N,
INTERNAL_EVENT_ADV_CELL_SUP_RECOVERY_ATTEMPT,5229,Cell,Generated when Advanced Cell Supervision attempts to recover from a sleeping cell. The event is generated on the cell causing the recovery action.,"2,5",S1,INTERNAL,,N,
INTERNAL_EVENT_ADV_CELL_SUP_RECOVERY_RESULT,5230,Cell,Generated when Advanced Cell Supervision succeeds to recover from a sleeping cell.  The event is generated on the cell causing the recovery action. The event is generated when it is detected that the cell has left the sleeping cell condition after an automatic recovery action.,"2,5",S1,INTERNAL,,N,
INTERNAL_EVENT_AI_ACS_CONCEPT_DRIFT_DETECTION,5315,RBS,Triggered when AI Powered ACS detects a concept drift,,,INTERNAL,,N,
INTERNAL_EVENT_ANR_CONFIG_MISSING,5159,RBS,When Automatic Neighbor Relation (ANR) feature cannot proceed due to missing frequency configuration. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,N,
INTERNAL_EVENT_ANR_HO_LEVEL_CHANGED,5266,Cell,The event is generated when the attribute hoSuccLevel has been changed.,2,,INTERNAL,"CCTR, HANDOVER_EVALUATION",N,
INTERNAL_EVENT_ANR_NR_EVAL,5338,UE,Generated when B1 Measurement Report with unknown NR Cell is received and ANR for LTE to NR is prevented in ANR evaluation.,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_ANR_NR_FREQ_REL_ADD,5340,Cell,Generated when GUtranFreqRelation MO is automatically added.,2,X2,INTERNAL,,N,
INTERNAL_EVENT_ANR_PCI_REPORT_WANTED,5173,UE,This Event is triggered when there is a need to send a RRC Connection Reconfiguration message to a UE  in order to measure PCI.,"0,1,2,3,4,5",UU,INTERNAL,,Y,
INTERNAL_EVENT_ANR_STOP_MEASURING,5238,UE,"This event is triggered when the Automatic Neighbor Relation (ANR) function stops requesting Physical Cell Identity (PCI) and CGI measurements due to that the threshold for MaxNrUtranCellRelations  is reached. Currently, it is only implemented for Utran.","0,1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_ASM_TRIGGERED_ALARM_SUPPRESSED,5341,RBS,"Reported when the check for the Inter-eNodeB Carrier Aggregation or the Elastic RAN feature fails for ASM-triggered connections, and the Inter Node Feature Compatibility alarm is suppressed.",,,INTERNAL,,N,
INTERNAL_EVENT_CANDNREL_ADD,5248,Cell,When the neighbor cell is automatically added to candidate list.,2,UU,INTERNAL,,N,
INTERNAL_EVENT_CANDNREL_REMOVE,5249,Cell,When the neighbor cell relation is automatically removed from candidate list.,2,UU,INTERNAL,,N,
INTERNAL_EVENT_CA_SCELL_UPSWITCH,5318,UE,Triggered during Baseband resource shortage whenever SCells selected during initial Scell selection is limited or when upswitch of additional Scells is requested.,"2,5",UU,INTERNAL,,N,
INTERNAL_EVENT_CA_WAITING_FOR_COVERAGE,5282,UE,"UE has triggered the waitForCaOpportunityTimer, or waitForAdditionalCaOpportunityTimer with n cells configured.",2,UU,INTERNAL,"CCTR,SESSION_PERFORMANCE_EVALUATION",N,
INTERNAL_EVENT_CELL_DL_CAPACITY,5236,Cell,Event is generated when the Automated Cell Capacity Estimation features triggers a recalculation of the cell capacity. The cell capacity is the calculated maximum throughput in the DL,2,,INTERNAL,,N,
INTERNAL_EVENT_CELL_SLEEP_CRITERIA_FAILED,5280,Cell,This event is generated when the capacity cell determines that it is providing coverage support. Just one PM event is generated between sleepStartTime and sleepEndTime of a day to block the event flooding.,,,INTERNAL,,N,
INTERNAL_EVENT_CELL_SLEEP_PROHIBIT_TRIGGERED,5281,Cell,This event is generated when capacity cell wakes up due to coverage hole and is prohibited from entering sleep state.,,,INTERNAL,,N,
INTERNAL_EVENT_CELL_WAKEUP_DETECTED,5255,Cell,Triggered whenever the cell has found opportunity to wakeup a sleeping capacity cell. This event is reported on coverage cells supporting cell sleep mode.,,,INTERNAL,,N,
INTERNAL_EVENT_CELL_WAKEUP_IND_RECEIVED,5339,Cell,Event triggered in capacity cell and sent to the coverage cell when RRC or downlink PRB load decreases below the thresholds for a specific time.,,,INTERNAL,,N,
INTERNAL_EVENT_CELL_WAKEUP_TRIGGERED,5254,Cell,Triggered whenever the cell is about to exit sleep state. This event is reported on capacity cells enabled with cell sleep mode.,,,INTERNAL,,N,
INTERNAL_EVENT_CMAS_REPET_STOPPED,5226,Cell,The repetitions of a Commercial Mobile Alert System (CMAS) message have been stopped. The normal reason is that requested number of repetitions have been performed. Other reason can be that repetition has been interrupted by a KILL request.,"1,2",S1,INTERNAL,,Y,
INTERNAL_EVENT_CMAS_REQ,5223,Cell,"A Commercial Mobile Alert System (CMAS) broadcast request has been received, see 3GPP 36.413","1,2",S1,INTERNAL,,Y,
INTERNAL_EVENT_CMAS_RESP,5224,Cell,"A Commercial Mobile Alert System (CMAS) response message has been sent, see 3GPP 36.413","1,2",S1,INTERNAL,,Y,
INTERNAL_EVENT_COV_CELL_DISCOVERY_END,5258,Cell,"Triggered when coverage cell discovery is stopped, due to feature reconfiguration.",,,INTERNAL,,N,
INTERNAL_EVENT_COV_CELL_DISCOVERY_START,5256,Cell,Triggered when coverage cell discovery starts for a particular capacity cell.,,,INTERNAL,,N,
INTERNAL_EVENT_COV_CELL_DISCOVERY_UPDATE,5257,Cell,Triggered when the coverage cell discovery operation performs an update for a particular capacity cell.,,,INTERNAL,,N,
INTERNAL_EVENT_DLHARQ_ANMODE_CONFIG,5279,UE,This event is generated when a UE is to be configured with a TDD DL HARQ Ack/Nack feedback mode using RRC connection reconfiguration.,2,UU,INTERNAL,,N,
INTERNAL_EVENT_DL_COMP_MEAS_CONFIG_REJECT,5252,UE,Generated when RAC rejects baseband request for configuration of a UE with A5 event used in DL CoMP.,"1,2",,INTERNAL,,N,
INTERNAL_EVENT_DL_COMP_MEAS_REP_DISCARD,5253,UE,Generated when RAC discards measurement reports from UE with A5 event used in DL CoMP.,"1,2",,INTERNAL,,N,
INTERNAL_EVENT_DYNAMIC_UE_ADMISSION_BLOCKING_STARTED,5259,Cell,The event is generated when the dynamic UE admission control function starts blocking resource requests for the cell.,"1,2",UU,INTERNAL,"SESSION_ESTABLISHMENT_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_EVENT_DYNAMIC_UE_ADMISSION_BLOCKING_STOPPED,5260,Cell,The event is generated when the dynamic UE admission control function stops blocking resource requests for the cell.,"1,2",UU,INTERNAL,"SESSION_ESTABLISHMENT_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_EVENT_DYNAMIC_UE_ADMISSION_BLOCKING_UPDATED,5261,Cell,The event is generated when the dynamic UE admission control function updates the rejection level for the cell.,"1,2",UU,INTERNAL,"SESSION_ESTABLISHMENT_EVALUATION,GENERAL_EVALUATION",N,
INTERNAL_EVENT_DYNAMIC_UE_ADMISSION_QUEUE_ATT,5302,UE,RRC request is taken from the dynamic UE admission queue and a connection attempt is made,"2,5",UU,INTERNAL,,N,20.Q2
INTERNAL_EVENT_ENDC_SETUP_BUF_MON_REPORT,5317,UE,Triggered when RAC receives buffer monitoring report from DL RLC or from UL UPC for Buffer based ENDC setup.,"1,2","X2,UU",INTERNAL,,N,
INTERNAL_EVENT_ENDC_X2_CONN_RELEASE,5284,RBS,"The EN-DC X2 connection to an en-gNB has ended, either released by the local or remote node, or simply lost.",2,X2,INTERNAL,,N,
INTERNAL_EVENT_ERAB_DATA_INFO,5202,UE,"Sent during any E-RAB setup, modification, or release when transparent parameters of E-RAB or related to E-RAB procedure are set or changed. Transparent when setting or changing parameter cannot lead to failure of E-RAB setup, modification, or release. Not set parameters are marked as unavailable. Set parameters are included in event format.","1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_ERAB_RELEASE_DELAYED,5265,UE,"Triggered by S1 protocol handling at reception of a command to perform a MME-initiated ERAB release when eNB is currently busy with ""ongoing_procedure"".","2,5",S1,INTERNAL,,N,
INTERNAL_EVENT_ERAB_ROHC_FAIL_LIC_REJECT,5214,UE,The RoHC license is inoperable per eNB (the bearer continues to setup without RoHC enabled),"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_ERAN_CA_TUNNEL_DELETION_CONDUCT,5344,RBS,Intended E-RAN carrier aggregation tunnel deletion is performed,,,INTERNAL,,N,
INTERNAL_EVENT_ETWS_REPET_STOPPED,5225,Cell,The repetitions of a Secondary Earthquake and Tsunami Warning System (ETWS) message have been stopped. The normal reason is that requested number of repetitions have been performed. Other reason can be that repetition has been interrupted by replacement of the ongoing message.,"1,2",S1,INTERNAL,,N,
INTERNAL_EVENT_ETWS_REQ,5221,Cell,"An Earthquake and Tsunami Warning System (ETWS) broadcast request has been received, see 3GPP 36.413","1,2",S1,INTERNAL,,Y,
INTERNAL_EVENT_ETWS_RESP,5222,Cell,"An Earthquake and Tsunami Warning System (ETWS) response message has been sent, see 3GPP 36.413","1,2",S1,INTERNAL,,Y,
INTERNAL_EVENT_EUTRAN_FREQUENCY_ADD,5167,RBS,When the EUTRAN_FREQUENCY MO is automatically added.,,,INTERNAL,,N,
INTERNAL_EVENT_FILE_CONTENT_REMOVED_FOR_HIGHER_PRIORITY_FILES,5295,RBS,"Triggered when PM event ROP file contents are removed to secure free space for higher priority PM event ROP files, and notify downstream processing systems that Cell/UE trace file contents have been removed. This event is only applicable in Baseband Radio Node. This event is applicable in Baseband RadioNode but not applicable in extension baseband unit in multiple Baseband RadioNode.",,,INTERNAL,ALWAYS_ACTIVE,N,
INTERNAL_EVENT_FLEX_FILTER_ISSUE,5276,RBS,This event is generated if configured filter parameters are not applicable to an activated base flexible counter when a scanner is activated or new filter configuration is applied.,,,INTERNAL,ALWAYS_ACTIVE,N,
INTERNAL_EVENT_FREQ_REL_ADD,5168,Cell,When the frequency relation MO is automatically added.,2,UU,INTERNAL,,N,
INTERNAL_EVENT_HO_WRONG_CELL,5205,Cell,Sent when the eNB detects a HO to wrong cell as defined in 3GPP TS 36.300,"1,2,4,5",X2,INTERNAL,HANDOVER_EVALUATION,N,
INTERNAL_EVENT_HO_WRONG_CELL_REEST,5206,Cell,Sent when the eNB detects a HO to wrong cell as defined in 3GPP TS 36.300. The event contains the identity of the relation to the cell where UE reestablishment occurred.,"1,2,4,5",X2,INTERNAL,HANDOVER_EVALUATION,N,
INTERNAL_EVENT_IMLB_ACTION,5198,Cell,Sent when Idle Mode Load Balancing modifies thresholds values in the high priority cell or in the low priority cell.,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_IMLB_CONTROL,5197,Cell,Sent when either Idle Mode Load Balancing is started or stopped,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_INTEGRITY_VER_FAIL_RRC_MSG,5134,UE,At failed MAC-I verification of a RRC message,"0,1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_IP_ADDR_GET_FAILURE,5171,RBS,"Retrieving an X2 IP Address has failed; the feature ""X2 IP Address via S1"" is not active and the alternative retrieval requires a Domain Name that does not exist.",2,S1,INTERNAL,,N,
INTERNAL_EVENT_LB_EVALUATION_TO,5250,UE,Timeout on the lbUeEvaluationTimer to select Ue candidates for throughput based load balancing measurements.,"1,2",,INTERNAL,,N,
INTERNAL_EVENT_LB_INTER_FREQ,5215,Cell,When performing load balancing or offloading to target cells an amount of traffic load is determined for each target cell (lbAmount). lbAmount corresponds to an amount of subscription quanta that will be attempted to be moved to the target cell. The event is sent for each target cell.,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_LB_SUB_RATIO,5220,Cell,The average subscription ratio for a cell during a load reporting period (default 15sec).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_LICENSE_UNAVAILABLE,5166,RBS,When a license is unavailable. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,N,
INTERNAL_EVENT_LOAD_CONTROL_STATE_TRANSITION,5233,RBS,The event is generated when the MP Load Control State is changed due to any measurement.,,,INTERNAL,,N,
INTERNAL_EVENT_LOOPING_ENDC_FREQ_BLOCKLISTED,5333,UE,"Triggered when the number of EN-DC release with short SCG session is over consecutive failure counter, so the NR frequency is blocklisted.","0,1,2","X2,UU",INTERNAL,,N,
INTERNAL_EVENT_MAX_FILESIZE_REACHED,5139,RBS,Max size reached for a Cell Trace file or an UE trace file. The event is written to the actual file and the file is closed. A new file will be opened when the next Recording Output Period (ROP) starts. This event is always active thus never requires to be activated in a profile or scanner to be generated. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,Y,
INTERNAL_EVENT_MAX_FILESIZE_RECOVERY,5140,RBS,Captured at start of a new ROP (Recording Output Period) when the file for the previous ROP has been closed due to that the maximum file size for a Cell Trace or a UE Trace file had been reached. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,Y,
INTERNAL_EVENT_MAX_STORAGESIZE_REACHED,5138,RBS,"The event is generated when max storage size for Cell Trace, UE Trace or total event storage size for storing event files is reached and file(s) younger than 2hrs has been removed. The oldest event files on the storage are targeted for removal first. This event is always active thus never requires to be activated in a profile or scanner to be generated. This event is applicable in DU RadioNode and extension baseband unit in multiple Baseband RadioNode.",,,INTERNAL,ALWAYS_ACTIVE,Y,24.Q2
INTERNAL_EVENT_MAX_UETRACES_REACHED,5128,RBS,The maximum number of UE Traces per eNodeB are activated and an additional UE under UE Trace is configured or moves into the same eNodeB. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,Y,
INTERNAL_EVENT_MBMS_CELL_SELECTION,5274,UE,This event is generated when an MBMB Interest Indication is received and the eNB and an eMBMS cell configuration for that UE has been selected.,"2,5",UU,INTERNAL,,N,
INTERNAL_EVENT_MBMS_INTEREST_INDICATION,5237,UE,MBMS INTEREST INDICATION received that indicates interest in other frequency than the current cell's frequency. See 3GPP 36.331,"2,5",UU,INTERNAL,,N,
INTERNAL_EVENT_MEASUREMENT_REPORT_RECEIVED,5262,UE,When the measurement report is received in measurement context,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_A1,5174,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A1 - Serving becomes better than absolute threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_A2,5175,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A2 - Serving becomes worse than absolute threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_A3,5176,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A3 - Neighbour becomes amount of offset better than serving (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_A4,5177,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A4 - Neighbour becomes better than absolute threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_A5,5178,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A5 - Serving becomes worse than absolute threshold1 AND Neighbour becomes better than another absolute threshold2 (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_A6,5239,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A6 - Neighbor becomes offset better than SCell (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B1_CDMA2000,5235,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on CDMA2000 with Report Configuration of type Event B1 - Inter RAT neighbour becomes better than threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_B1_ENDC_SETUP,5292,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on ENDC with Report Configuration of type B1 (see 3GPP TS 36.331  V15).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B1_GERAN,5273,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on GERAN with Report Configuration of type Event B1 - Neighbor cell becomes better than absolute threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B1_GUTRA,5283,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on GUTRA with Report Configuration of type B1 (see EIPS for 3GPP TS 36.331  V3.0.0).,"1,2",UU,INTERNAL,,N,19.Q3
INTERNAL_EVENT_MEAS_CONFIG_B1_NR,5289,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on NR with Report Configuration of type Event B1(see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B1_UTRA,5234,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on UTRA with Report Configuration of type Event B1 - Inter RAT neighbour becomes better than absolute threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B2_CDMA2000,5182,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on CDMA2000 with Report Configuration of type Event B2 - Serving becomes worse than absolute threshold1 AND Neighbour becomes better than another absolute threshold2 (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
