pmEvent Name,Event Id,Event Type,Event Description and Trigger,Message Trace Depth (UE Trace),Interface Classification,OSS protocol definition (not used by eNB). Used for grouping pmEvents into groups in the Cell traceGUI (and sent by PMS/OSS at configuration/filter for a scanner),OSS Event Groups,Pico Support (Y/N),Deprecated since
INTERNAL_PROC_S1_SETUP,4116,RBS,Generated for a S1 Connection Setup procedure. Contains information about the request and result,2,S1,INTERNAL,,Y,
INTERNAL_PROC_S1_SIG_CONN_SETUP,4098,UE,Generated for the S1 Signaling Connection Setup procedure to establish an S1 Signaling Connection. Contains information about the request and result.,"0,1,2",S1,INTERNAL,CCTR,Y,
INTERNAL_PROC_S1_TENB_CONF_LOOKUP,4119,RBS,"When a requested X2 IP address of a target eNB is received, if the S1 message MME CONFIGURATION TRANSFER contains a SON information reply.",2,S1,INTERNAL,,N,
INTERNAL_PROC_S1_TGNB_CONF_LOOKUP,4150,RBS,"When a requested X2 IP address of a target gNB is received, if the S1 message MME CONFIGURATION TRANSFER contains a SON information reply.",2,S1,INTERNAL,,N,
INTERNAL_PROC_SCTP_SETUP,4109,RBS,Generated for a SCTP Connection Setup procedure. Contains information about the request and result,2,"S1,X2",INTERNAL,,Y,
INTERNAL_PROC_SCTP_SHUTDOWN,4124,RBS,Generated for a SCTP Shutdown procedure.  Contains information about the result and generates latency times,2,"S1,X2",INTERNAL,,Y,
INTERNAL_PROC_SOFT_LOCK,4131,Cell,Generated for the Soft Lock procedure,,,INTERNAL,,N,
INTERNAL_PROC_UETR_RRC_SCELL_CONFIGURED,4132,UE,"Triggered each time an SCell configuration is started, complete with result or timed-out.","1,2",UU,INTERNAL,UETR_ONLY,Y,20.Q2
INTERNAL_PROC_UE_CTXT_FETCH,4128,UE,Generated when the eNB has finished a Context Fetch procedure.,"2,5",X2,INTERNAL,DROPPED_SESSION_EVALUATION,N,
INTERNAL_PROC_UE_CTXT_MODIFY,4126,UE,Generated for the UE Context Modification procedure,"0,1,2","S1,UU",INTERNAL,"DROPPED_SESSION_EVALUATION,GENERAL_EVALUATION",Y,
INTERNAL_PROC_UE_CTXT_RELEASE,4125,UE,"Generated for the UE Context Release procedure to release a UE Context. Contains information about the releasing node, cause and bearer information.","0,1,2","S1,UU",INTERNAL,"CCTR,DROPPED_SESSION_EVALUATION,GENERAL_EVALUATION",Y,
INTERNAL_PROC_UE_CTXT_RESUME,4153,UE,Generated for the S1 Signaling Connection Resume procedure to establish an S1 Signaling Connection. Contains information about the request and result.,"0,1,2",S1,INTERNAL,,N,
INTERNAL_PROC_UE_CTXT_SUSPEND,4151,UE,Generated for the S1 Signaling Connection Suspend procedure. Contains information about the request and result.,"0,1,2",S1,INTERNAL,,N,
INTERNAL_PROC_X2_MN_INIT_SGNB_MOD,4146,UE,Generated for X2 MeNB Initiated SgNB Modification procedure. Contains information about request and result.,"2,5","UU,X2",INTERNAL,,N,
INTERNAL_PROC_X2_RESET,4123,RBS,Generated for the X2 Reset procedure to count the number of X2 Resets,2,X2,INTERNAL,,N,
INTERNAL_PROC_X2_SETUP,4118,RBS,Generated for a X2 Connection Setup procedure. Contains information about the request and result,2,X2,INTERNAL,,Y,
INTERNAL_PROC_X2_SGNB_ADDITION,4144,UE,Generated for a X2 SgNB Addition procedure. Contains information about the request and result.,"2,5","UU,X2",INTERNAL,,N,
INTERNAL_UE_MEAS_ABORT,5185,UE,When an ongoing UE measurement in the UE is stopped.,"1,2",UU,INTERNAL,,Y,
M3_M3_SETUP_FAILURE,8194,EXTERNAL,M3_SETUP_FAILURE received. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_M3_SETUP_REQUEST,8192,EXTERNAL,M3_SETUP_REQUEST sent. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_M3_SETUP_RESPONSE,8193,EXTERNAL,M3_SETUP_RESPONSE received. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_MBMS_SESSION_START_FAILURE,8197,EXTERNAL,MBMS_SESSION_START_FAILURE sent. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_MBMS_SESSION_START_REQUEST,8195,EXTERNAL,MBMS_SESSION_START_REQUEST received. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_MBMS_SESSION_START_RESPONSE,8196,EXTERNAL,MBMS_SESSION_START_RESPONSE sent. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_MBMS_SESSION_STOP_REQUEST,8198,EXTERNAL,MBMS_SESSION_STOP_REQUEST received. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_MBMS_SESSION_STOP_RESPONSE,8199,EXTERNAL,MBMS_SESSION_STOP_RESPONSE sent. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_MBMS_SESSION_UPDATE_FAILURE,8206,EXTERNAL,MBMS_SESSION_UPDATE_FAILURE sent. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_MBMS_SESSION_UPDATE_REQUEST,8204,EXTERNAL,MBMS_SESSION_UPDATE_REQUEST received. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_MBMS_SESSION_UPDATE_RESPONSE,8205,EXTERNAL,MBMS_SESSION_UPDATE_RESPONSE sent. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_MCE_CONFIGURATION_UPDATE_FAILURE,8203,EXTERNAL,MCE_CONFIGURATION_UPDATE_FAILURE received. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_MCE_CONFIGURATION_UPDATE_REQUEST,8201,EXTERNAL,MCE_CONFIGURATION_UPDATE_REQUEST sent. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_MCE_CONFIGURATION_UPDATE_RESPONSE,8202,EXTERNAL,MCE_CONFIGURATION_UPDATE_RESPONSE received. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
M3_RESET,8200,EXTERNAL,RESET sent or received. See 3GPP 36.444,,,EXTERNAL,MBMS,N,
RRC_CONNECTION_RESUME,60,EXTERNAL,RRC CONNECTION RESUME message sent. See 3GPP 36.331.,"0,2,3,5",S1,EXTERNAL,,N,
RRC_CONNECTION_RESUME_COMPLETE,59,EXTERNAL,RRC CONNECTION RESUME COMPLETE is received. 36.331.,"0,2,3,5",UU,EXTERNAL,,N,
RRC_CONNECTION_RESUME_REQUEST,61,EXTERNAL,RRC CONNECTION RESUME REQUEST is received. 36.331.,"0,2,3,5",UU,EXTERNAL,,N,
RRC_CONNECTION_RE_ESTABLISHMENT,24,EXTERNAL,"When the RRC message RRC CONNECTION RE-ESTABLISHMENT is sent, see 3GPP TS 36.331.","0,2,3,5",UU,EXTERNAL,,Y,
RRC_CONNECTION_RE_ESTABLISHMENT_COMPLETE,25,EXTERNAL,"When the RRC message RRC CONNECTION RE-ESTABLISHMENT COMPLETE is received, see 3GPP TS 36.331.","0,2,3,5",UU,EXTERNAL,,Y,
RRC_CSFB_PARAMETERS_REQUEST_CDMA2000,29,EXTERNAL,CSFB_PARAMETERS_REQUEST_CDMA2000 received See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_CSFB_PARAMETERS_RESPONSE_CDMA2000,30,EXTERNAL,CSFB_PARAMETERS_RESPONSE_CDMA2000 sent See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_DL_INFORMATION_TRANSFER,6,EXTERNAL,DL INFORMATION TRANSFER sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_DL_INFORMATION_TRANSFER_NB,36,EXTERNAL,DL INFORMATION TRANSFER NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_HANDOVER_FROM_EUTRA_PREPARATION_REQUEST,31,EXTERNAL,RRC HANDOVER FROM EUTRA PREPARATION REQUEST sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_INTER_FREQ_RSTD_MEASUREMENT_INDICATION,34,EXTERNAL,INTER FREQ RSTD MEASUREMENT INDICATION received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_IN_DEVICE_COEX_INDICATION,54,EXTERNAL,RRC_IN_DEVICE_COEX_INDICATION received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_LOGGED_MEASUREMENT_CONFIGURATION,56,EXTERNAL,RRC message sent to configure the UE to perform logging of measurement results while in RRC_IDLE. To send MDT configuration. See 3GPP 36.331,,,EXTERNAL,,N,
RRC_MASTER_INFORMATION_BLOCK,21,EXTERNAL,SYSTEM INFORMATION MASTER sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_MASTER_INFORMATION_BLOCK_NB,37,EXTERNAL,SYSTEM INFORMATION MASTER NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_MBMS_INTEREST_INDICATION,33,EXTERNAL,MBMS INTEREST INDICATION received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_MBSFNAREA_CONFIGURATION,28,EXTERNAL,MBSFNAREA_CONFIGURATION sent. See 3GPP 36.331,,,EXTERNAL,MBMS,N,
RRC_MEASUREMENT_REPORT,11,EXTERNAL,MEASUREMENT REPORT received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_MOBILITY_FROM_E_UTRA_COMMAND,7,EXTERNAL,MOBILITY FROM E-UTRA COMMAND sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_MOBILITY_FROM_E_UTRA_COMMAND_EXT,35,EXTERNAL,MOBILITY FROM E-UTRA COMMAND sent. See 3GPP 36.331,"1,2",UU,EXTERNAL,,N,
RRC_RRC_CONNECTION_RECONFIGURATION,8,EXTERNAL,CONNECTION RECONFIGURATION sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,CCTR,Y,
RRC_RRC_CONNECTION_RECONFIGURATION_COMPLETE,13,EXTERNAL,RRC CONNECTION RECONFIGURATION COMPLETE received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,CCTR,Y,
RRC_RRC_CONNECTION_RECONFIGURATION_COMPLETE_NB,43,EXTERNAL,RRC CONNECTION RECONFIGURATION COMPLETE NB (Narrowband IoT) received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_RRC_CONNECTION_RECONFIGURATION_NB,42,EXTERNAL,CONNECTION RECONFIGURATION NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_RRC_CONNECTION_REJECT,1,EXTERNAL,RRC CONNECTION REJECT sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_RRC_CONNECTION_REJECT_NB,44,EXTERNAL,RRC CONNECTION REJECT NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_RRC_CONNECTION_RELEASE,5,EXTERNAL,RRC CONNECTION RELEASE sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_RRC_CONNECTION_RELEASE_NB,45,EXTERNAL,RRC CONNECTION RELEASE NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_RRC_CONNECTION_REQUEST,2,EXTERNAL,RRC CONNECTION REQUEST sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_RRC_CONNECTION_REQUEST_NB,46,EXTERNAL,RRC CONNECTION REQUEST NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_COMPLETE_NB,39,EXTERNAL,"When the RRC message RRC CONNECTION RE-ESTABLISHMENT COMPLETE NB (Narrowband IoT) is received, see 3GPP TS 36.331.","0,2,3,5",UU,EXTERNAL,,N,
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_NB,38,EXTERNAL,SYSTEM INFORMATION MASTER NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_REJECT,4,EXTERNAL,RRC CONNECTION RE-ESTABLISHMENT REJECT sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_REJECT_NB,40,EXTERNAL,RRC CONNECTION RE-ESTABLISHMENT REJECT NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_REQUEST,3,EXTERNAL,RRC CONNECTION RE-ESTABLISHMENT REQUEST received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_REQUEST_NB,41,EXTERNAL,RRC CONNECTION RE-ESTABLISHMENT REQUEST NB (Narrowband IoT) received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_RRC_CONNECTION_SETUP,0,EXTERNAL,RRC CONNECTION SETUP sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_RRC_CONNECTION_SETUP_COMPLETE,12,EXTERNAL,RRC CONNECTION SETUP COMPLETE received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_RRC_CONNECTION_SETUP_COMPLETE_NB,48,EXTERNAL,RRC CONNECTION SETUP COMPLETE NB (Narrowband IoT) received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_RRC_CONNECTION_SETUP_NB,47,EXTERNAL,RRC CONNECTION SETUP NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_SCG_FAILURE_INFORMATION_NR,55,EXTERNAL,RRC SCGFailureInformationNR received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_SECURITY_MODE_COMMAND,9,EXTERNAL,SECURITY MODE COMMAND sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_SECURITY_MODE_COMPLETE,17,EXTERNAL,SECURITY MODE COMPLETE received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_SECURITY_MODE_FAILURE,18,EXTERNAL,SECURITY MODE FAILURE received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_SYSTEM_INFORMATION,22,EXTERNAL,SYSTEM INFORMATION sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_SYSTEM_INFORMATION_BLOCK_TYPE_1,23,EXTERNAL,SYSTEM INFORMATION 1 sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_SYSTEM_INFORMATION_BLOCK_TYPE_1_NB,50,EXTERNAL,SYSTEM INFORMATION 1 NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_SYSTEM_INFORMATION_NB,49,EXTERNAL,SYSTEM INFORMATION NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_UE_ASSISTANCE_INFORMATION,63,EXTERNAL,UEAssistanceInformation message is received.,"0,2,3,5",UU,EXTERNAL,,N,
RRC_UE_CAPABILITY_ENQUIRY,10,EXTERNAL,UE CAPABILITY ENQUIRY sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_UE_CAPABILITY_ENQUIRY_NB,51,EXTERNAL,UE CAPABILITY ENQUIRY NB (Narrowband IoT) sent. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_UE_CAPABILITY_INFORMATION,19,EXTERNAL,UE CAPABILITY INFORMATION received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_UE_CAPABILITY_INFORMATION_NB,52,EXTERNAL,UE CAPABILITY INFORMATION NB (Narrowband IoT) received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_UE_INFORMATION_REQUEST,27,EXTERNAL,RRC message sent when an UE responds to an UE Information request,,,EXTERNAL,,N,
RRC_UE_INFORMATION_RESPONSE,26,EXTERNAL,RRC message sent when an UE responds to an UE Information request,,,EXTERNAL,,N,
RRC_UL_DEDICATED_MESSAGE_SEGMENT,62,EXTERNAL,"UlDedicatedMessageSegment message received. See 3GPP TS 36.331, Release 16.","0,2,3,5",UU,EXTERNAL,,N,
RRC_UL_HANDOVER_PREPARATION_TRANSFER,32,EXTERNAL,RRC UL HANDOVER FROM  PREPARATION TRANSFER received See 3GPP 36.332,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_UL_INFORMATION_TRANSFER,16,EXTERNAL,UL INFORMATION TRANSFER received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,Y,
RRC_UL_INFORMATION_TRANSFER_MRDC,57,EXTERNAL,ULInformationTransferMRDC message is received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
RRC_UL_INFORMATION_TRANSFER_NB,53,EXTERNAL,UL INFORMATION TRANSFER NB (Narrowband IoT) received. See 3GPP 36.331,"0,2,3,5",UU,EXTERNAL,,N,
S1_CONNECTION_ESTABLISHMENT_INDICATION,1093,EXTERNAL,S1_CONNECTION_ESTABLISHMENT_INDICATION sent.  Applicable for NB-IoT. See 3GPP 36.413.,"0,2,3,5",S1,EXTERNAL,,N,
S1_DOWNLINK_NAS_TRANSPORT,1025,EXTERNAL,DOWNLINK_NAS_TRANSPORT received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_DOWNLINK_NON_UE_ASSOCIATED_LPPA_TRANSPORT,1083,EXTERNAL,"When the S1 message ""DOWNLINK NON UE ASSOCIATED LPPA TRANSPORT"" is received, see 3GPP TS 36.413.","0,2,3,5",S1,EXTERNAL,,N,
S1_DOWNLINK_S1_CDMA2000_TUNNELING,1024,EXTERNAL,DOWNLINK_S1_CDMA2000_TUNNELING received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_DOWNLINK_S1_CDMA2000_TUNNELING_EXT,1091,EXTERNAL,DOWNLINK_S1_CDMA2000_TUNNELING received. See 3GPP 36.413,"1,2",S1,EXTERNAL,,N,
S1_DOWNLINK_UE_ASSOCIATED_LPPA_TRANSPORT,1081,EXTERNAL,"When the S1 message ""DOWNLINK UE ASSOCIATED LPPA TRANSPORT"" is received, see 3GPP TS 36.413.","0,2,3,5",S1,EXTERNAL,,N,
S1_ENB_CONFIGURATION_TRANSFER,2067,EXTERNAL,"When the S1 message ""ENB CONFIGURATION TRANSFER"" is sent, see 3GPP TS 36.413.","0,2,3,5",S1,EXTERNAL,,Y,
S1_ENB_CONFIGURATION_UPDATE,1068,EXTERNAL,S1_ENB_CONFIGURATION_UPDATE received or sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_ENB_CONFIGURATION_UPDATE_ACKNOWLEDGE,1069,EXTERNAL,S1_ENB_CONFIGURATION_UPDATE_ACKNOWLEDGE received or sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_ENB_CONFIGURATION_UPDATE_FAILURE,1070,EXTERNAL,S1_ENB_CONFIGURATION_UPDATE_FAILURE received or sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_ENB_CP_RELOCATION_INDICATION,1097,EXTERNAL,S1 ENB CP RELOCATION INDICATION message sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,N,
S1_ENB_DIRECT_INFORMATION_TRANSFER,1074,EXTERNAL,S1 message that contains RIM messages addressed to eNB,"0,2,3,5",S1,EXTERNAL,,N,
S1_ENB_STATUS_TRANSFER,1026,EXTERNAL,ENB_STATUS_TRANSFER sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_ERAB_MODIFICATION_CONFIRM,1096,EXTERNAL,S1 ERAB MODIFICATION CONFIRM message received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,N,
S1_ERAB_MODIFICATION_INDICATION,1095,EXTERNAL,S1 ERAB MODIFICATION CONFIRM message sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,N,
S1_ERAB_MODIFY_REQUEST,1049,EXTERNAL,S1_ERAB_MODIFY_REQUEST received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_ERAB_MODIFY_RESPONSE,1050,EXTERNAL,S1_ERAB_MODIFY_RESPONSE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_ERAB_RELEASE_COMMAND,1051,EXTERNAL,S1_ERAB_RELEASE_COMMAND received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_ERAB_RELEASE_INDICATION,1080,EXTERNAL,S1_ERAB_RELEASE_INDICATION sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_ERAB_RELEASE_RESPONSE,1052,EXTERNAL,S1_ERAB_RELEASE_RESPONSE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_ERAB_SETUP_REQUEST,1054,EXTERNAL,S1_ERAB_SETUP_REQUEST received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_ERAB_SETUP_RESPONSE,1055,EXTERNAL,S1_ERAB_SETUP_RESPONSE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_ERROR_INDICATION,1027,EXTERNAL,S1_ERROR_INDICATION received or sent over a common channel/dedicated channel/stream. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_HANDOVER_CANCEL,1028,EXTERNAL,S1_HANDOVER_CANCEL sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_HANDOVER_CANCEL_ACKNOWLEDGE,1029,EXTERNAL,S1_HANDOVER_CANCEL_ACKNOWLEDGE received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_HANDOVER_COMMAND,1030,EXTERNAL,S1_HANDOVER_COMMAND received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_HANDOVER_FAILURE,1031,EXTERNAL,S1_HANDOVER_FAILURE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_HANDOVER_NOTIFY,1032,EXTERNAL,S1_HANDOVER_NOTIFY sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_HANDOVER_PREPARATION_FAILURE,1033,EXTERNAL,S1_HANDOVER_PREPARATION_FAILURE received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_HANDOVER_REQUEST,1034,EXTERNAL,S1_HANDOVER_REQUEST received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_HANDOVER_REQUEST_ACKNOWLEDGE,1035,EXTERNAL,S1_HANDOVER_REQUEST_ACKNOWLEDGE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_HANDOVER_REQUIRED,1036,EXTERNAL,HANDOVER_REQUIRED sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_INITIAL_CONTEXT_SETUP_FAILURE,1037,EXTERNAL,S1_INITIAL_CONTEXT_SETUP_FAILURE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_INITIAL_CONTEXT_SETUP_REQUEST,1038,EXTERNAL,S1_INITIAL_CONTEXT_SETUP_REQUEST received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_INITIAL_CONTEXT_SETUP_RESPONSE,1039,EXTERNAL,S1_INITIAL_CONTEXT_SETUP_RESPONSE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_INITIAL_UE_MESSAGE,1040,EXTERNAL,S1_INITIAL_UE_MESSAGE sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_KILL_REQUEST,1078,EXTERNAL,S1_KILL_REQUEST received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_KILL_RESPONSE,1079,EXTERNAL,"S1_KILL_RESPONSE sent,  3GPP 36.413","0,2,3,5",S1,EXTERNAL,,Y,
S1_LOCATION_REPORT,2064,EXTERNAL,S1_LOCATION_REPORT sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_LOCATION_REPORTING_CONTROL,2063,EXTERNAL,S1_LOCATION_REPORTING_CONTROL received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_LOCATION_REPORT_FAILURE_INDICATION,2065,EXTERNAL,S1_LOCATION_REPORT_FAILURE_INDICATION sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,N,
S1_MME_CONFIGURATION_TRANSFER,2066,EXTERNAL,"When the S1 message ""MME CONFIGURATION TRANSFER"" is received, see 3GPP TS 36.413.","0,2,3,5",S1,EXTERNAL,,Y,
S1_MME_CONFIGURATION_UPDATE,1071,EXTERNAL,S1_MME_CONFIGURATION_UPDATE received or sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_MME_CONFIGURATION_UPDATE_ACKNOWLEDGE,1072,EXTERNAL,S1_MME_CONFIGURATION_UPDATE_ACKNOWLEDGE received or sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_MME_CONFIGURATION_UPDATE_FAILURE,1073,EXTERNAL,S1_MME_CONFIGURATION_UPDATE_FAILURE received or sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_MME_CP_RELOCATION_INDICATION,1098,EXTERNAL,S1 MME CP RELOCATION INDICATION message received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,N,
S1_MME_DIRECT_INFORMATION_TRANSFER,1075,EXTERNAL,S1 message that contains RIM messages sent from eNB,"0,2,3,5",S1,EXTERNAL,,N,
S1_MME_STATUS_TRANSFER,1041,EXTERNAL,MME_STATUS_TRANSFER received. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_NAS_NON_DELIVERY_INDICATION,1042,EXTERNAL,NAS_NON_DELIVERY_INDICATION sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
S1_OVERLOAD_START,1087,EXTERNAL,S1_OVERLOAD_START  received. See 3GPP 36.413,,,EXTERNAL,,N,
S1_OVERLOAD_STOP,1088,EXTERNAL,S1_OVERLOAD_STOP  received. See 3GPP 36.413,,,EXTERNAL,,N,
S1_PAGING,1043,EXTERNAL,PAGING received. See 3GPP 36.413,2,S1,EXTERNAL,,Y,
S1_PATH_SWITCH_REQUEST,1044,EXTERNAL,S1_PATH_SWITCH_REQUEST sent. See 3GPP 36.413,"0,2,3,5",S1,EXTERNAL,,Y,
